AI_TASK,MODEL,VERSION,INPUT_TILE,PLATFORM,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY,NOTES,UPDATED BY,LAST UPDATE
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x380,jetson-nano2,onnxruntime,CPU,F32,AP-medium,79.7,2.2,0.7,2.9,18.8,738.8,29.2,786.8,1.3,8646.4,21.9,0.5,21.9,0.9,2.6,3.0,62.9,0.0,0.0,38.2,26.3,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x380,jetson-nano2,lne,GPU/CPU,F32,AP-medium,79.7,2.2,0.7,2.9,16.0,143.9,11.8,171.7,5.8,39610.2,42.7,1.6,42.5,1.7,10.6,12.0,60.5,16.3,0.0,35.5,24.1,4.4,1.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x380,jetson-nano2,tensorrt,GPU,F16,AP-medium,79.7,2.2,0.7,1.5,16.0,35.3,15.3,66.7,15.0,102057.2,51.4,2.1,49.9,2.0,11.4,12.0,57.3,40.8,0.0,37.9,26.1,4.5,3.7,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x380,jetson-nano2,tensorrt,GPU,F32,AP-medium,79.7,2.2,0.7,2.9,16.0,39.0,15.4,70.4,14.2,96609.2,51.3,2.1,49.9,2.0,12.3,13.0,55.6,30.9,0.0,38.2,26.0,4.7,3.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x380,jetson-nano2,ncnn,GPU,F16,AP-medium,79.7,2.2,0.7,1.5,16.1,66.6,18.7,101.4,9.9,67085.1,27.0,1.1,26.7,1.1,7.1,8.0,49.7,41.5,0.0,37.3,25.4,4.6,2.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x380,jetson-nano2,ncnn,GPU,F32,AP-medium,79.7,2.2,0.7,2.9,17.4,66.4,25.2,109.0,9.2,62421.8,26.3,1.1,26.1,1.0,6.9,8.0,50.2,34.2,0.0,37.4,25.7,4.5,2.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x380,jetson-nano2,onnxruntime,CPU,F32,AP-medium,79.7,2.2,0.7,2.9,18.9,754.4,28.2,801.5,1.2,8488.1,21.7,1.0,21.7,0.8,2.5,4.0,63.1,0.0,0.0,35.9,24.3,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,lne,CPU,F32,AP-medium,82.9,2.8,0.7,2.9,19.6,381.9,14.1,415.6,2.4,16368.9,23.0,0.5,23.0,0.9,5.9,7.0,63.1,0.0,0.0,37.8,26.0,3.9,0.8,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,onnxruntime,CPU,F32,AP-medium,82.9,2.8,0.7,2.9,28.2,928.2,33.5,989.9,1.0,6872.3,22.3,0.5,22.2,0.9,2.9,3.0,63.1,0.0,0.0,38.9,27.2,3.8,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,lne,GPU/CPU,F32,AP-medium,82.9,2.8,0.7,2.9,19.6,170.2,14.1,203.9,4.9,33360.8,43.9,1.7,43.7,1.7,11.6,13.0,60.5,21.1,0.0,35.4,24.1,4.4,1.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,tensorrt,GPU,F16,AP-medium,82.9,2.8,0.7,1.5,19.4,39.7,18.4,77.5,12.9,87774.3,51.2,2.1,49.8,2.0,11.8,13.0,56.0,74.0,0.0,37.8,26.5,5.3,3.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,tensorrt,GPU,F32,AP-medium,82.9,2.8,0.7,2.9,19.3,51.2,17.5,88.0,11.4,77271.4,51.7,2.1,50.5,2.0,14.0,15.0,54.5,38.0,0.0,38.2,26.0,4.7,3.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,ncnn,GPU,F16,AP-medium,82.9,2.8,0.7,1.5,19.6,82.0,22.4,124.0,8.1,54871.9,27.5,1.1,27.3,1.1,7.5,9.0,49.5,47.1,0.0,37.7,25.8,4.7,2.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,ncnn,GPU,F32,AP-medium,82.9,2.8,0.7,2.9,19.8,81.9,22.5,124.2,8.1,54792.7,27.5,1.1,27.3,1.1,7.5,9.0,49.3,50.2,0.0,37.9,26.0,4.7,2.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-32-72,640x480,jetson-nano2,onnxruntime,CPU,F32,AP-medium,82.9,2.8,0.7,2.9,28.3,923.2,34.3,985.8,1.0,6901.1,22.1,1.0,22.1,0.9,3.0,5.0,63.3,0.0,0.0,35.8,24.5,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,lne,CPU,F32,AP-medium,64.0,1.7,1.4,5.7,7.2,209.6,5.1,222.0,4.5,30649.9,22.5,0.5,22.4,0.9,4.0,4.0,61.5,0.0,0.0,37.5,25.8,3.8,1.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,onnxruntime,CPU,F32,AP-medium,64.0,1.7,1.4,5.7,7.0,531.4,10.3,548.7,1.8,12398.9,22.2,0.5,22.1,0.9,2.0,2.0,63.1,0.0,0.0,38.0,26.3,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,lne,GPU/CPU,F32,AP-medium,64.0,1.7,1.4,5.7,7.0,101.3,5.3,113.7,8.8,59857.1,42.3,1.6,42.0,1.7,8.0,9.0,60.6,15.1,0.0,34.2,23.2,4.1,1.8,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,tensorrt,GPU,F16,AP-medium,64.0,1.7,1.4,2.8,7.1,21.9,6.8,35.9,27.8,189461.8,51.8,2.1,49.7,2.0,8.4,9.0,55.9,16.4,0.0,37.4,25.5,4.2,5.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,tensorrt,GPU,F32,AP-medium,64.0,1.7,1.4,5.7,7.0,24.4,6.7,38.2,26.2,178162.0,51.7,2.1,49.7,2.0,9.5,11.0,54.4,22.5,0.0,36.7,25.2,4.3,5.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,ncnn,GPU,F16,AP-medium,64.0,1.7,1.4,2.8,7.0,40.8,8.8,56.6,17.7,120160.1,26.4,1.1,26.0,1.0,5.9,7.0,49.6,27.0,0.0,35.8,24.7,4.2,3.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,ncnn,GPU,F32,AP-medium,64.0,1.7,1.4,5.7,7.1,40.8,8.7,56.5,17.7,120392.1,26.5,1.1,26.1,1.0,5.7,7.0,49.7,39.8,0.0,35.9,24.7,4.3,3.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x320,jetson-nano2,onnxruntime,CPU,F32,AP-medium,64.0,1.7,1.4,5.7,6.9,530.7,11.3,548.9,1.8,12394.4,21.5,1.0,21.5,0.8,2.0,4.0,63.1,0.0,0.0,34.7,23.6,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,lne,CPU,F32,AP-medium,52.2,1.0,1.4,5.7,4.6,125.9,3.2,133.7,7.5,50878.9,22.2,0.5,22.1,0.9,3.0,4.0,60.3,0.0,0.0,36.9,25.5,3.7,1.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,onnxruntime,CPU,F32,AP-medium,52.2,1.0,1.4,5.7,4.5,333.0,4.3,341.8,2.9,19905.6,21.9,0.5,21.8,0.9,2.0,2.0,62.9,0.0,0.0,37.7,26.2,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,lne,GPU/CPU,F32,AP-medium,52.2,1.0,1.4,5.7,4.6,77.1,3.3,85.1,11.8,79983.0,38.6,1.6,38.3,1.5,5.5,6.0,60.5,14.3,0.0,34.0,23.0,4.0,1.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,tensorrt,GPU,F16,AP-medium,52.2,1.0,1.4,2.8,4.5,14.7,4.4,23.6,42.3,288089.1,47.9,2.1,45.5,1.9,6.2,7.0,57.0,17.0,0.0,36.7,25.1,3.8,5.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,tensorrt,GPU,F32,AP-medium,52.2,1.0,1.4,5.7,4.5,15.7,4.4,24.6,40.6,276184.7,48.0,2.1,45.6,1.9,7.1,8.0,55.4,14.8,0.0,36.0,25.0,3.9,5.2,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,ncnn,GPU,F16,AP-medium,52.2,1.0,1.4,2.8,4.5,26.0,5.9,36.4,27.4,186707.5,22.2,1.1,21.8,0.9,4.5,5.0,50.3,2.1,0.0,35.4,23.6,3.7,3.6,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,ncnn,GPU,F32,AP-medium,52.2,1.0,1.4,5.7,4.6,26.0,5.8,36.4,27.4,186651.6,23.0,1.1,22.5,0.9,4.5,5.0,50.6,24.8,0.0,34.7,24.1,4.0,3.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x185,jetson-nano2,onnxruntime,CPU,F32,AP-medium,52.2,1.0,1.4,5.7,4.4,336.5,4.2,345.1,2.9,19710.4,18.2,1.0,18.2,0.7,2.0,3.0,63.2,0.0,0.0,34.3,23.3,3.6,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,lne,CPU,F32,AP-medium,62.5,1.3,1.4,5.7,5.7,167.1,4.2,176.9,5.7,38464.8,22.1,0.5,22.1,0.9,3.6,4.0,61.0,0.0,0.0,37.7,25.8,3.7,1.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,onnxruntime,CPU,F32,AP-medium,62.5,1.3,1.4,5.7,5.7,433.9,11.9,451.5,2.2,15067.3,21.7,0.5,21.6,0.8,2.0,2.0,62.7,0.0,0.0,38.1,26.4,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,lne,GPU/CPU,F32,AP-medium,62.5,1.3,1.4,5.7,5.7,98.4,4.2,108.3,9.2,62818.8,40.0,1.7,39.7,1.6,7.1,8.0,61.7,13.9,0.0,34.2,23.1,4.1,1.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,tensorrt,GPU,F16,AP-medium,62.5,1.3,1.4,2.8,5.7,17.8,5.5,29.0,34.5,234458.4,48.7,2.1,46.5,1.9,7.5,8.0,56.7,9.1,0.0,37.1,25.0,4.0,5.7,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,tensorrt,GPU,F32,AP-medium,62.5,1.3,1.4,5.7,5.7,19.8,5.5,31.0,32.3,219797.2,49.6,2.1,47.3,1.9,8.7,10.0,55.3,23.1,0.0,37.0,25.0,4.3,5.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,ncnn,GPU,F16,AP-medium,62.5,1.3,1.4,2.8,5.7,33.4,7.6,46.7,21.4,145706.2,23.8,1.1,23.4,0.9,5.3,6.0,50.0,25.7,0.0,35.4,24.1,4.1,3.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,ncnn,GPU,F32,AP-medium,62.5,1.3,1.4,5.7,5.7,33.2,7.3,46.2,21.6,147215.1,23.3,1.1,22.9,0.9,5.2,6.0,50.3,27.8,0.0,35.5,24.4,4.1,3.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,320x250,jetson-nano2,onnxruntime,CPU,F32,AP-medium,62.5,1.3,1.4,5.7,5.7,438.6,9.8,454.1,2.2,14982.0,19.5,1.0,19.5,0.8,2.0,3.0,62.9,0.0,0.0,34.5,23.4,3.6,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,lne,CPU,F32,AP-medium,86.0,6.6,1.4,5.7,25.3,822.6,18.6,866.5,1.2,7850.8,24.0,0.6,23.9,0.9,6.0,7.0,63.8,0.0,0.0,38.7,27.0,4.0,1.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,onnxruntime,CPU,F32,AP-medium,86.0,6.6,1.4,5.7,36.9,1802.2,44.4,1883.5,0.5,3612.0,22.2,0.5,22.2,0.9,3.0,3.0,63.4,0.0,0.0,40.3,28.4,3.8,0.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,lne,GPU/CPU,F32,AP-medium,86.0,6.6,1.4,5.7,25.4,291.0,19.1,335.4,3.0,20283.2,45.1,1.7,44.9,1.8,15.0,17.0,59.2,27.3,0.0,36.5,24.9,4.7,2.1,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,tensorrt,GPU,F16,AP-medium,86.0,6.6,1.4,2.8,25.2,72.6,24.2,122.1,8.2,55736.4,47.1,2.1,46.1,1.8,16.3,18.0,53.2,50.1,0.0,39.3,27.0,5.2,5.2,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,tensorrt,GPU,F32,AP-medium,86.0,6.6,1.4,5.7,25.3,85.0,23.4,133.7,7.5,50893.8,48.0,2.1,47.1,1.9,18.8,21.0,51.5,47.0,0.0,40.1,27.3,5.3,4.7,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,ncnn,GPU,F16,AP-medium,86.0,6.6,1.4,2.8,24.8,147.9,29.6,202.3,4.9,33630.1,31.8,1.3,31.5,1.3,10.4,11.0,47.3,59.6,0.0,39.1,27.2,5.2,3.1,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,ncnn,GPU,F32,AP-medium,86.0,6.6,1.4,5.7,25.0,148.1,29.6,202.7,4.9,33567.4,31.6,1.3,31.3,1.3,10.3,11.0,47.3,78.6,0.0,39.3,28.1,5.7,2.9,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x640,jetson-nano2,onnxruntime,CPU,F32,AP-medium,86.0,6.6,1.4,5.7,37.0,1807.2,44.1,1888.3,0.5,3602.6,23.1,1.0,23.1,0.9,3.0,6.0,63.5,0.0,0.0,37.0,25.7,3.8,0.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,lne,CPU,F32,AP-medium,81.6,3.9,1.4,5.7,16.0,502.4,11.6,530.0,1.9,12836.8,23.7,0.6,23.7,0.9,5.2,6.0,63.2,0.0,0.0,39.5,28.1,3.9,0.9,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,onnxruntime,CPU,F32,AP-medium,81.6,3.9,1.4,5.7,15.7,1163.6,22.7,1201.9,0.8,5660.1,22.1,0.5,22.1,0.9,2.5,3.0,63.2,0.0,0.0,40.5,28.7,3.8,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,lne,GPU/CPU,F32,AP-medium,81.6,3.9,1.4,5.7,16.0,192.6,12.2,220.8,4.5,30808.4,41.2,1.7,40.9,1.6,12.5,14.0,60.0,24.3,0.0,35.7,24.0,4.5,2.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,tensorrt,GPU,F16,AP-medium,81.6,3.9,1.4,2.8,15.9,44.1,15.4,75.5,13.3,90149.6,44.7,2.0,43.4,1.7,13.1,14.0,54.1,32.5,0.0,38.8,26.5,4.7,5.6,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,tensorrt,GPU,F32,AP-medium,81.6,3.9,1.4,5.7,16.1,56.3,15.1,87.5,11.4,77749.2,47.7,2.1,46.5,1.8,15.2,17.0,53.6,37.0,0.0,39.1,26.7,5.1,4.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,ncnn,GPU,F16,AP-medium,81.6,3.9,1.4,2.8,16.2,90.7,19.1,126.1,7.9,53967.9,27.0,1.2,26.7,1.1,8.5,9.0,48.3,43.5,0.0,38.2,26.0,4.7,3.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,ncnn,GPU,F32,AP-medium,81.6,3.9,1.4,5.7,15.9,90.8,19.2,126.0,7.9,53992.0,27.0,1.2,26.7,1.0,8.3,9.0,48.2,47.0,0.0,38.5,26.2,4.8,3.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x380,jetson-nano2,onnxruntime,CPU,F32,AP-medium,81.6,3.9,1.4,5.7,15.8,1155.6,23.3,1194.6,0.8,5694.6,20.1,1.0,20.1,0.8,2.5,5.0,63.4,0.0,0.0,36.4,24.9,3.7,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,lne,CPU,F32,AP-medium,84.9,4.9,1.4,5.7,19.6,623.9,14.0,657.4,1.5,10347.9,23.3,0.5,23.3,0.9,5.9,6.0,63.5,0.0,0.0,39.6,27.6,4.0,0.9,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,onnxruntime,CPU,F32,AP-medium,84.9,4.9,1.4,5.7,19.2,1423.7,26.2,1469.1,0.7,4630.8,22.1,0.5,22.1,0.9,2.9,3.0,63.3,0.0,0.0,40.8,29.0,3.8,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,lne,GPU/CPU,F32,AP-medium,84.9,4.9,1.4,5.7,19.5,223.3,14.6,257.4,3.9,26427.6,39.9,1.6,39.7,1.6,13.8,16.0,59.7,24.8,0.0,36.8,25.1,4.6,2.1,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,tensorrt,GPU,F16,AP-medium,84.9,4.9,1.4,2.8,19.6,53.7,18.1,91.4,10.9,74448.9,44.6,2.0,43.4,1.7,14.8,16.0,53.5,39.3,0.0,39.0,27.0,4.8,5.6,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,tensorrt,GPU,F32,AP-medium,84.9,4.9,1.4,5.7,19.5,65.2,18.3,103.0,9.7,66018.3,46.6,2.0,45.5,1.8,17.4,19.0,52.5,43.0,0.0,39.6,27.3,5.2,4.6,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,ncnn,GPU,F16,AP-medium,84.9,4.9,1.4,2.8,19.5,112.3,22.8,154.7,6.5,43979.9,26.2,1.2,25.9,1.0,9.4,10.0,47.7,48.9,0.0,38.7,26.8,4.9,3.2,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,ncnn,GPU,F32,AP-medium,84.9,4.9,1.4,5.7,19.1,112.5,22.6,154.2,6.5,44104.4,26.2,1.2,26.0,1.0,9.3,10.0,47.8,48.3,0.0,39.2,27.1,4.9,3.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-48-96,640x480,jetson-nano2,onnxruntime,CPU,F32,AP-medium,84.9,4.9,1.4,5.7,19.0,1424.7,25.9,1469.5,0.7,4629.3,19.0,1.0,18.9,0.7,2.8,6.0,63.5,0.0,0.0,37.0,25.5,3.8,0.4,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,lne,CPU,F32,AP-medium,68.4,2.9,2.5,10.0,7.0,332.2,5.2,344.3,2.9,19757.1,22.9,0.5,22.9,0.9,4.0,4.0,62.4,0.0,0.0,38.3,26.9,3.8,1.1,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,onnxruntime,CPU,F32,AP-medium,68.4,2.9,2.5,10.0,7.0,800.0,11.9,818.8,1.2,8308.6,21.8,0.5,21.8,0.8,2.0,3.0,63.1,0.0,0.0,39.1,27.5,3.7,0.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,lne,GPU/CPU,F32,AP-medium,68.4,2.9,2.5,10.0,7.1,141.6,5.2,153.8,6.5,44222.6,38.6,1.6,38.3,1.5,9.4,11.0,60.4,16.4,0.0,35.3,24.0,4.3,2.2,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,tensorrt,GPU,F16,AP-medium,68.4,2.9,2.5,5.0,7.1,26.9,6.8,40.8,24.5,166797.3,48.2,2.1,46.3,1.9,10.2,11.0,55.4,28.5,0.0,38.4,26.1,4.4,8.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,tensorrt,GPU,F32,AP-medium,68.4,2.9,2.5,10.0,7.2,31.8,6.8,45.8,21.8,148580.7,47.6,2.1,45.8,1.8,11.7,13.0,53.9,27.4,0.0,38.8,26.3,4.5,6.9,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,ncnn,GPU,F16,AP-medium,68.4,2.9,2.5,5.0,7.0,62.0,9.1,78.1,12.8,87094.1,24.0,1.1,23.6,0.9,6.5,7.0,48.1,16.9,0.0,38.4,25.2,4.2,4.3,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,ncnn,GPU,F32,AP-medium,68.4,2.9,2.5,10.0,7.0,62.1,9.4,78.5,12.7,86717.6,23.4,1.1,23.1,0.9,6.5,7.0,48.0,78.7,0.0,37.9,26.3,5.0,3.7,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x320,jetson-nano2,onnxruntime,CPU,F32,AP-medium,68.4,2.9,2.5,10.0,7.0,799.7,12.5,819.2,1.2,8304.5,17.5,1.0,17.5,0.7,2.0,4.0,63.3,0.0,0.0,36.0,24.5,3.7,0.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,lne,CPU,F32,AP-medium,56.9,1.7,2.5,10.0,4.5,198.5,3.1,206.2,4.9,32997.7,22.5,0.5,22.5,0.9,3.9,4.0,61.3,0.0,0.0,37.1,25.6,3.8,1.1,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,onnxruntime,CPU,F32,AP-medium,56.9,1.7,2.5,10.0,4.4,497.7,7.4,509.6,2.0,13350.9,21.6,0.5,21.6,0.8,2.0,2.0,63.2,0.0,0.0,37.8,26.4,3.7,0.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,lne,GPU/CPU,F32,AP-medium,56.9,1.7,2.5,10.0,4.5,99.1,3.2,106.8,9.4,63703.4,38.0,1.6,37.6,1.5,7.1,8.0,61.0,16.5,0.0,35.1,24.0,4.1,1.9,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,tensorrt,GPU,F16,AP-medium,56.9,1.7,2.5,5.0,4.6,18.6,4.2,27.4,36.5,248212.7,47.8,2.1,45.4,1.9,7.6,8.0,56.9,16.9,0.0,38.2,26.2,4.1,7.7,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,tensorrt,GPU,F32,AP-medium,56.9,1.7,2.5,10.0,4.5,20.5,4.4,29.4,34.0,231552.2,47.8,2.1,45.6,1.9,9.0,10.0,55.4,24.9,0.0,38.0,26.2,4.3,6.8,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,ncnn,GPU,F16,AP-medium,56.9,1.7,2.5,5.0,4.5,38.9,6.0,49.4,20.2,137583.0,22.3,1.1,21.9,0.9,5.0,6.0,49.0,43.6,0.0,36.9,25.2,4.4,4.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,ncnn,GPU,F32,AP-medium,56.9,1.7,2.5,10.0,4.6,39.3,6.0,49.9,20.1,136418.6,22.4,1.1,22.0,0.9,4.9,6.0,49.5,38.9,0.0,36.9,25.4,4.3,4.0,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x185,jetson-nano2,onnxruntime,CPU,F32,AP-medium,56.9,1.7,2.5,10.0,4.4,496.0,7.7,508.1,2.0,13389.7,17.9,1.0,17.9,0.7,2.0,3.0,63.4,0.0,0.0,35.6,24.3,3.7,0.5,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x250,jetson-nano2,lne,CPU,F32,AP-medium,66.5,2.3,2.5,10.0,5.7,263.0,4.2,272.9,3.7,24928.7,22.6,0.5,22.5,0.9,3.9,4.0,61.8,0.0,0.0,37.4,25.9,3.8,1.1,,,
face-landmarks-detection,face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,320x250,jetson-nano2,onnxruntime,CPU,F32,AP-medium,66.5,2.3,2.5,10.0,5.7,643.1,5.7,654.5,1.5,10394.0,22.0,0.5,22.0,0.9,2.0,3.0,63.3,0.0,0.0,38.0,26.3,3.7,0.5,,,
