nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0455896854400634,21,46,,,,,137.21463272972971,171.070312
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0462300777435302,21,46,,,,,136.88534616216216,170.792969
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0466463565826416,21,46,,,,,136.33919294444442,170.820312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0458588600158691,21,46,,,,,136.86295558333333,170.679688
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0521104335784912,21,46,,,,,133.52343745945944,170.816406
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0472869873046875,21,46,,,,,137.31228288888892,170.765625
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0503134727478027,21,46,,,,,136.66742638888888,170.835938
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.047347068786621,21,46,,,,,137.34136294444446,170.75
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0494883060455322,21,46,,,,,137.7077702972973,170.53125
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0465271472930908,21,46,,,,,137.10167124999998,170.945312
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0454654693603515,21,46,,,,,137.22395836111113,170.648438
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0463416576385498,21,46,,,,,137.27311205555554,170.976562
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0474932193756103,21,46,,,,,138.09516052777778,170.75
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.043593406677246,21,46,,,,,137.06716594444444,170.714844
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0458817481994628,21,46,,,,,137.4108954864865,170.4375
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0459611415863037,21,46,,,,,136.84071180555554,170.582031
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0490310192108154,21,46,,,,,136.7838541111111,170.742188
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0485553741455078,21,46,,,,,136.82638891666664,170.96875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0435702800750732,21,46,,,,,137.10221366666667,170.859375
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0431461334228515,21,46,,,,,137.42013880555558,170.78125
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0434050559997558,21,46,,,,,137.57193997222222,170.769531
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0446126461029052,21,46,,,,,136.94021277777776,170.542969
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0456397533416748,21,46,,,,,137.4284937777778,170.839844
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0453677177429199,21,46,,,,,137.41666669444444,170.808594
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0461742877960205,21,46,,,,,137.5872396388889,170.734375
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0450763702392578,21,46,,,,,135.49472116216214,170.535156
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0456240177154541,21,46,,,,,137.21538625000002,170.835938
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0482466220855712,21,46,,,,,137.51193594444442,170.769531
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0456106662750244,21,46,,,,,136.7586805,170.632812
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0436980724334716,21,46,,,,,134.49672721621621,170.886719
