extractor,algorithm,target,max_depth,max_leaves,training_time,extraction_time
cart,anticipate,sol,4,4,0.0296905040740966,0.0612945556640625
cart,anticipate,time,4,4,0.0134940147399902,0.0178844928741455
cart,anticipate,memory,4,4,0.0117132663726806,0.013918399810791
cart,contingency,sol,4,4,0.0264670848846435,0.0167236328125
cart,contingency,time,4,4,0.010688304901123,0.0129179954528808
cart,contingency,memory,4,4,0.011685371398925781,0.011471748352050781
