rule,ex_times_mean_1_target,ex_times_mean_2_target,ex_times_mean_3_target
cart,0.0512467039955986,0.0517802009317609,0.0524693448808457
creepy,0.0454648640420701,0.0460210837258232,0.0464909992747836
gridex,0.0525680939356485,0.0529338843292659,0.0536109336747063
gridrex,0.0573219842380947,0.0598753682772318,0.0594323194821675
decision_trees,16.766538740528954,33.569245648649,49.11365948412151
