MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
face-recognition-insightsface-mobilefacenet,mxnet,112x112,lne,CPU,F32,,,0.4,1.0,4.0,1.6,76.6,0.0,78.2,12.8,90511.4,35.3,1.1,0.0,0.0,0.0,0.0,55.6,0.0,0.0,70.6,0.0,0.0,0.0
face-recognition-insightsface-mobilefacenet,mxnet,112x112,onnxruntime,CPU,F32,,,0.4,1.0,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
