var_0,var_1,var_2,var_3,var_4,var_5,var_6,time,memory
47,11,46,45,18,48,39,74.50299263000488,24.086851
38,28,11,15,30,27,44,74.5423059463501,24.086563
51,9,24,32,49,9,26,74.70929408073425,24.087696
51,3,31,48,12,16,25,74.80056953430176,24.087697
22,3,11,6,13,26,32,74.90071392059326,24.087696
3,49,42,18,46,42,43,75.12669634819031,24.084914
10,28,6,38,47,42,51,75.1800320148468,24.087697
10,20,16,29,48,15,15,75.352703332901,24.085339
3,28,4,10,39,41,27,75.39884305000305,24.087696
23,12,3,20,16,10,17,75.66127920150757,24.087034
5,38,29,37,42,47,20,95.79933786392212,59.842524
29,40,5,43,29,51,26,95.97529649734496,61.538605
7,47,14,46,31,52,28,96.36692833900452,61.734556
13,35,17,25,35,25,44,96.40832352638245,59.840718
26,5,49,25,19,32,35,96.93366956710815,61.732565
49,40,43,5,19,38,13,97.2735559940338,59.64669
52,26,41,28,38,30,16,97.40196776390076,61.735773
4,3,26,16,50,24,43,74.24245047569275,24.079167
33,17,9,52,7,5,6,74.17109537124634,24.07982
3,50,3,13,13,33,22,74.442138671875,24.079503
9,30,31,8,34,46,26,74.82662081718445,24.079822
23,52,8,36,31,45,46,95.2447862625122,61.727898
34,3,15,52,52,44,7,74.25169444084167,24.079822
27,25,44,37,51,22,49,95.41153573989868,60.935191
36,52,29,14,7,47,27,97.17766451835632,61.727243
38,47,34,34,26,20,28,95.75187420845032,61.453411
27,47,24,45,32,43,36,95.22094082832336,61.124168
37,11,34,47,27,50,28,74.408456325531,24.079505
10,18,31,26,11,28,23,74.54991722106934,24.0792
5,48,10,23,22,31,42,74.6153335571289,24.079823
52,20,33,37,41,52,46,96.7112090587616,61.183142
21,43,13,46,30,22,46,95.91441798210144,61.727412
41,49,17,19,34,23,33,96.41541242599487,61.727899
11,9,16,50,42,9,16,74.39381456375122,24.079991
11,48,42,15,9,52,34,74.26367330551147,24.079992
39,15,11,11,21,32,5,74.53953003883362,24.080023
40,26,3,13,34,8,32,74.24788641929626,24.079991
25,8,8,47,33,41,8,95.92211723327635,61.728096
37,32,24,48,31,19,31,95.6728448867798,61.163492
9,42,46,15,9,19,52,74.31569314002991,24.080022
3,10,41,47,4,7,28,74.11154055595398,24.080021
35,15,24,17,35,34,36,96.24696326255798,61.728099
21,42,51,40,34,12,18,95.4934184551239,57.94166
39,40,42,28,29,14,43,95.67895460128784,59.834979
7,22,23,29,8,44,7,95.6130199432373,61.728065
29,13,46,46,48,52,34,95.53057479858398,61.114218
49,17,27,36,46,8,14,96.77370262145996,61.72759
41,48,15,13,41,40,33,96.69513583183289,59.834948
16,39,11,44,6,34,14,74.21132302284241,24.080023
21,41,8,48,30,5,52,96.05662941932678,61.728066
4,45,33,25,21,44,26,95.2393879890442,61.721492
34,3,52,33,27,14,5,74.32485485076904,24.08099
44,42,8,41,14,13,43,96.98937344551086,61.185685
44,9,39,31,48,13,41,74.18571043014526,24.080991
52,26,51,13,27,5,5,95.7348964214325,61.729034
51,42,34,14,8,14,48,96.6512212753296,61.720689
31,20,44,51,51,17,20,96.07553958892822,61.664577
26,40,51,28,52,8,12,96.4569492340088,61.72052
12,14,26,38,14,40,17,94.9019856452942,61.720866
35,48,45,48,45,7,48,95.2182195186615,61.11236
29,12,41,44,28,45,33,95.67277193069458,61.107338
48,46,19,50,27,39,36,95.8476243019104,61.155014
43,49,5,48,46,18,21,96.08076095581056,60.120389
47,21,19,38,8,24,20,96.59734034538268,61.017075
31,20,21,52,15,16,17,95.42709040641785,59.830764
27,45,15,20,29,46,26,95.57857370376588,61.724541
28,28,36,46,42,34,15,95.018620967865,60.450839
36,4,49,8,27,28,28,96.41280221939088,61.72621
44,47,30,22,24,19,28,96.09728956222534,61.719399
11,48,51,17,13,22,42,74.72026133537292,24.07404
51,47,3,20,39,47,12,74.51901412010193,24.077936
16,17,13,27,19,4,8,95.6846203804016,61.723374
13,36,3,10,23,47,19,74.37477731704712,24.078136
11,22,30,50,8,6,10,74.1931312084198,24.075358
15,21,33,16,51,51,21,95.08972883224487,59.832923
42,35,14,29,44,17,46,95.85030841827393,61.726043
40,17,42,23,32,30,42,96.38169550895692,61.722956
46,42,17,7,14,17,47,95.80815482139587,61.726182
34,5,35,52,50,5,16,95.52174377441406,61.721545
21,30,39,24,6,23,51,95.0815544128418,61.725835
37,5,44,52,4,30,52,95.1382224559784,60.596805
38,16,8,18,52,33,4,95.97909688949584,61.726434
48,22,40,27,35,31,17,96.58289551734924,61.7273
10,22,6,14,52,43,27,74.6954140663147,24.075775
23,36,35,12,51,47,42,95.34065580368042,61.723803
23,52,12,28,8,17,46,94.97230577468872,57.939089
20,35,19,18,36,18,13,96.68766975402832,59.830787
46,19,41,7,12,33,48,95.98544430732728,61.72727
14,42,10,36,45,45,29,74.17945599555969,24.073728
