MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x380,tensorrt,GPU,F32,83.3,6.8,2.5,10.0,15.9,69.0,15.2,100.1,10.0,67950.5,47.0,2.0,45.9,1.8,18.4,20.0,51.7,44.1,0.0,40.6,27.7,5.3,6.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x380,ncnn,GPU,F16,83.3,6.8,2.5,5.0,15.9,140.2,19.4,175.4,5.7,38776.5,27.7,1.2,27.4,1.1,9.3,10.0,46.3,56.5,0.0,40.0,27.9,5.2,3.8
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x380,ncnn,GPU,F32,83.3,6.8,2.5,10.0,15.8,140.4,19.5,175.7,5.7,38723.1,28.3,1.2,28.0,1.1,9.3,10.0,46.0,54.8,0.0,40.3,27.8,5.1,3.8
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x380,onnxruntime,CPU,F32,83.3,6.8,2.5,10.0,15.4,1698.8,23.1,1737.3,0.6,3915.8,19.2,1.0,19.2,0.7,2.5,6.0,63.5,0.0,0.0,37.6,26.0,3.8,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,lne,CPU,F32,86.2,8.6,2.5,10.0,19.4,996.7,14.0,1030.1,1.0,6604.5,24.1,0.6,24.1,0.9,5.0,6.0,63.9,0.0,0.0,39.4,27.5,4.0,1.0
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,onnxruntime,CPU,F32,86.2,8.6,2.5,10.0,19.3,2098.9,27.0,2145.3,0.5,3171.2,23.0,0.5,22.9,0.9,2.7,3.0,63.5,0.0,0.0,40.3,28.4,3.8,0.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,lne,GPU/CPU,F32,86.2,8.6,2.5,10.0,19.6,318.4,14.6,352.5,2.8,19299.6,40.4,1.7,40.3,1.6,14.7,17.0,59.3,26.8,0.0,38.0,26.0,4.8,2.5
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,tensorrt,GPU,F16,86.2,8.6,2.5,5.0,19.4,62.9,18.3,100.5,9.9,67671.7,45.7,2.0,44.6,1.8,15.6,17.0,53.3,43.8,0.0,40.4,27.8,5.1,8.4
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,tensorrt,GPU,F32,86.2,8.6,2.5,10.0,19.7,84.5,17.7,121.9,8.2,55801.7,46.0,2.0,45.1,1.8,19.8,22.0,51.0,28.2,0.0,41.3,28.5,5.1,6.9
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,ncnn,GPU,F16,86.2,8.6,2.5,5.0,19.3,175.0,23.1,217.4,4.6,31294.1,27.6,1.3,27.4,1.1,9.6,11.0,45.6,65.4,0.0,41.0,28.7,5.3,3.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,ncnn,GPU,F32,86.2,8.6,2.5,10.0,19.4,174.7,23.2,217.3,4.6,31304.7,28.5,1.3,28.2,1.1,9.6,11.0,45.6,68.2,0.0,41.3,29.0,5.4,3.7
face-landmarks-detection-retinaface,mobile0.25mod4lite-64-128,640x480,onnxruntime,CPU,F32,86.2,8.6,2.5,10.0,19.2,2116.8,28.1,2164.1,0.5,3143.6,18.0,1.0,18.0,0.7,2.7,6.0,63.6,0.0,0.0,38.4,26.8,3.8,0.5
