MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
face-recognition-insightsface-mobilefacenet,mxnet,112x112,lne,CPU,F32,,,0.4,1.0,4.0,1.5,42.8,0.0,44.3,22.6,235036.7,6.7,2.2,6.7,2.1,1.0,1.0,66.2,0.0,0.0,39.9,39.0,8.0,0.6
face-recognition-insightsface-mobilefacenet,mxnet,112x112,onnxruntime,CPU,F32,,,0.4,1.0,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
