MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
headpose-rankpose,mobilefacenetfc512,112x112,lne,CPU,F32,4.4,0.5,6.2,25.0,36.0,851.3,0.1,887.5,1.1,2.3,40.3,0.1,0.0,0.0,0.0,0.0,99.0,0.0,0.0,52.9,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,192x224,lne,CPU,F32,4.63,1.6,6.3,25.2,58.8,2678.7,0.1,2737.6,0.4,0.7,47.3,0.2,0.0,0.0,0.0,0.0,99.6,0.0,0.0,52.6,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,224x224,lne,CPU,F32,4.43,1.9,6.3,25.3,69.7,3494.7,0.1,3564.5,0.3,0.6,48.3,0.2,0.0,0.0,0.0,0.0,99.6,0.0,0.0,52.8,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,96x112,lne,CPU,F32,4.63,0.4,6.2,25.0,32.8,734.7,0.1,767.6,1.3,2.6,40.7,0.1,0.0,0.0,0.0,0.0,99.1,0.0,0.0,52.5,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512onlypose,96x112,lne,CPU,F32,4.34,0.4,3.0,12.1,31.9,751.2,0.1,783.2,1.3,2.6,42.2,0.1,0.0,0.0,0.0,0.0,99.1,0.0,0.0,52.0,0.0,0.0,0.0
headpose-rankpose,mobilefacenetonlyposefc512,112x112,lne,CPU,F32,4.38,0.5,3.0,12.1,33.6,884.0,0.2,917.8,1.1,2.2,45.1,0.2,0.0,0.0,0.0,0.0,99.1,0.0,0.0,52.5,0.0,0.0,0.0
