var_0,var_1,var_2,var_3,var_4,var_5,var_6,time,memory
47,11,46,45,18,48,39,809.8874533,19.902949
23,12,3,20,16,10,17,812.1056523,19.903765
38,28,11,15,30,27,44,822.1644437,19.905397
3,49,42,18,46,42,43,822.4170182,19.899685
10,20,16,29,48,15,15,823.5614536,19.900501
10,28,6,38,47,42,51,827.4235089,19.910294
22,3,11,6,13,26,32,830.9954038,19.909478
51,9,24,32,49,9,26,831.2346745,19.907846
3,28,4,10,39,41,27,838.5587602,19.910054
51,3,31,48,12,16,25,842.395817,19.908662
13,35,17,25,35,25,44,1018.27799,59.845564
29,40,5,43,29,51,26,1031.879774,61.54366
7,47,14,46,31,52,28,1043.489428,61.744397
26,5,49,25,19,32,35,1050.871122,61.736236
5,38,29,37,42,47,20,1062.816383,59.854317
49,40,43,5,19,38,13,1086.044397,59.658533
52,26,41,28,38,30,16,1092.01431,61.747477
4,3,26,16,50,24,43,787.2039278,19.902074
9,30,31,8,34,46,26,771.2173958,19.884875
3,50,3,13,13,33,22,778.2142019,19.902074
33,17,9,52,7,5,6,788.2710242,19.883803
23,52,8,36,31,45,46,1000.674688,61.724346
36,52,29,14,7,47,27,1045.500221,61.739441
37,11,34,47,27,50,28,796.6916039,19.902074
10,18,31,26,11,28,23,791.3030798,19.881659
27,25,44,37,51,22,49,1009.83025,60.927222
27,47,24,45,32,43,36,1029.063344,61.136029
34,3,15,52,52,44,7,793.5843477,19.887147
52,20,33,37,41,52,46,1053.223294,61.195339
38,47,34,34,26,20,28,1029.281549,61.445978
5,48,10,23,22,31,42,795.6532352,19.886611
21,43,13,46,30,22,46,1008.437479,61.739441
41,49,17,19,34,23,33,1042.507372,61.722202
11,9,16,50,42,9,16,798.5806453,19.89449
11,48,42,15,9,52,34,760.7891116,19.89649
39,15,11,11,21,32,5,779.0933378,19.896491
9,42,46,15,9,19,52,774.9858074,19.896491
40,26,3,13,34,8,32,815.4186692,19.890738
37,32,24,48,31,19,31,1022.367218,61.163897
35,15,24,17,35,34,36,1028.155504,61.73369
25,8,8,47,33,41,8,1021.716609,61.73369
3,10,41,47,4,7,28,780.3000815,19.896491
21,42,51,40,34,12,18,1029.672325,57.947449
39,40,42,28,29,14,43,1027.867592,59.84057
29,13,46,46,48,52,34,1008.370217,61.116231
41,48,15,13,41,40,33,1030.778663,59.840177
7,22,23,29,8,44,7,985.4242549,61.729545
49,17,27,36,46,8,14,1011.662937,61.733182
21,41,8,48,30,5,52,994.5830107,61.732225
16,39,11,44,6,34,14,729.0362148,19.896491
4,45,33,25,21,44,26,935.7163694,61.730617
34,3,52,33,27,14,5,635.4319279,19.899683
44,9,39,31,48,13,41,579.4397695,19.899179
44,42,8,41,14,13,43,827.6048429,61.190339
52,26,51,13,27,5,5,794.547528,61.734505
12,14,26,38,14,40,17,714.3644252,61.733689
51,42,34,14,8,14,48,756.8356323,61.737722
31,20,44,51,51,17,20,727.7722402,61.679594
29,12,41,44,28,45,33,735.0316153,61.121336
26,40,51,28,52,8,12,740.1849995,61.733689
35,48,45,48,45,7,48,715.9896288,61.127366
48,46,19,50,27,39,36,724.0850627,61.171474
43,49,5,48,46,18,21,715.0146701,60.126035
47,21,19,38,8,24,20,673.4965785,61.030728
31,20,21,52,15,16,17,663.8335886,59.841073
27,45,15,20,29,46,26,654.499233,61.735538
28,28,36,46,42,34,15,658.9146187,60.462844
36,4,49,8,27,28,28,666.9261572,61.733689
44,47,30,22,24,19,28,674.4592624,61.726342
11,48,51,17,13,22,42,525.5154669,19.896491
51,47,3,20,39,47,12,529.6249719,19.880674
16,17,13,27,19,4,8,683.050097,61.723601
13,36,3,10,23,47,19,532.265449,19.884194
15,21,33,16,51,51,21,677.37536,59.834818
11,22,30,50,8,6,10,530.6841655,19.896491
40,17,42,23,32,30,42,688.1703687,61.716057
42,35,14,29,44,17,46,684.5867379,61.730082
46,42,17,7,14,17,47,681.2680948,61.724185
34,5,35,52,50,5,16,667.4182625,61.733298
21,30,39,24,6,23,51,655.9636123,61.726865
38,16,8,18,52,33,4,672.8678083,61.725257
37,5,44,52,4,30,52,666.14187,60.599094
48,22,40,27,35,31,17,677.1199813,61.722097
10,22,6,14,52,43,27,529.5865076,19.896491
23,36,35,12,51,47,42,670.7289433,61.73369
23,52,12,28,8,17,46,651.6363025,57.947449
20,35,19,18,36,18,13,674.772742,59.84057
46,19,41,7,12,33,48,672.2758005,61.733689
14,42,10,36,45,45,29,518.3450646,19.896491
37,12,19,8,47,19,26,660.346046,59.840569
11,52,7,10,29,8,17,530.4335563,19.896491
7,12,37,20,7,46,37,664.4964855,61.733689
17,27,17,48,16,31,4,652.1525362,61.73369
