var_0,var_1,var_2,var_3,time,memory
8,23,12,11,766.5303049,33.232653
4,42,35,28,756.7276447,23.287472
25,35,18,21,799.680701,47.432964
43,44,25,31,778.962568,47.461136
6,22,20,51,775.9446738,28.587106
14,44,46,36,791.3706565,44.924329
16,19,12,50,774.4823844,41.101803
26,23,46,34,768.4355311,47.461985
14,28,50,15,784.0280211,44.924597
35,24,45,30,770.8405371,47.460239
14,44,22,32,790.9587028,44.923869
46,16,13,12,780.6859314,43.012798
13,44,5,46,770.6163089,26.695678
23,52,47,48,773.7274001,47.440769
16,7,44,18,761.2901378,46.967687
24,43,26,33,768.8423159,47.45955
41,39,19,8,784.1769705,42.179957
14,8,20,44,788.5935233,44.92309
8,27,12,6,752.7676382,33.153179
16,45,8,20,769.7327464,33.150325
34,30,31,8,780.3091853,42.172853
7,44,44,32,764.1176438,31.026638
24,9,7,23,757.2428122,30.923897
46,24,31,47,775.2249072,47.449699
29,17,26,36,788.9424589,47.461928
29,48,52,43,768.0320945,47.443501
14,7,40,10,764.6808803,44.921815
31,20,26,5,771.6713881,36.2985
13,43,17,42,790.7364001,43.009247
23,33,40,20,772.0728769,47.436959
6,33,34,49,750.1101677,28.567803
46,6,28,21,801.4319811,47.460464
19,10,13,6,661.9603651,38.342562
8,15,23,23,632.9535868,33.231801
8,22,27,48,651.183841,33.231928
30,44,10,7,655.7615719,37.206405
17,33,11,30,646.147222,39.173742
7,34,40,33,632.035006,31.040482
34,23,9,17,633.0524845,35.228369
43,45,22,32,664.319211,47.461486
11,33,52,9,638.1127546,39.16751
51,5,51,22,640.8287218,47.46145
18,33,20,40,631.2630062,47.431043
40,47,6,47,620.8611016,28.69071
8,23,12,13,639.0500665,33.23177
18,5,14,7,653.1763835,40.25136
40,11,17,48,651.2290227,47.326589
5,7,28,22,611.5560048,25.814002
28,15,13,47,630.8872561,43.020988
28,37,11,44,618.0650105,39.173987
8,16,26,6,625.8304148,33.17167
52,44,30,23,618.0566018,47.459756
10,16,41,33,549.9094517,37.256878
36,27,5,14,567.0897148,26.70626
38,26,48,28,569.0221481,47.461319
46,5,44,34,567.2371423,47.460251
36,39,12,8,567.5889359,41.128166
33,23,11,44,541.8338358,39.17383
16,8,28,5,547.6280594,36.316204
28,37,39,6,562.3719165,38.340586
22,17,13,42,561.9986506,43.021229
44,17,41,33,552.5297344,47.460719
13,38,38,40,571.4051802,43.020869
20,8,20,33,559.5804174,47.441451
49,47,6,52,559.8042448,28.690522
51,32,19,46,552.8885581,47.433712
7,52,43,46,561.1532321,31.040295
51,48,52,45,561.9617875,47.460152
50,30,28,9,570.0386422,44.075748
39,35,38,38,560.8053184,47.461751
48,47,31,38,573.8100152,47.461137
15,22,46,21,561.0813968,46.296667
29,19,27,42,607.6449254,47.457685
43,40,27,51,595.5580556,47.448392
8,48,25,16,594.2467692,33.231739
24,20,15,36,595.6562545,46.280542
14,50,35,6,592.0577843,38.332667
29,35,45,48,616.114054,47.449495
24,6,36,5,599.2939045,36.332144
6,20,34,31,601.232523,28.568842
37,34,10,35,601.7987289,37.210122
26,25,21,16,613.5684576,47.443591
19,21,26,23,595.7683287,47.419369
20,40,11,30,592.7448735,39.159678
13,15,17,45,610.2127869,43.019014
51,30,23,14,616.8159633,47.424559
17,4,45,41,603.5940969,47.290367
14,8,40,18,602.2446241,44.922039
50,24,19,18,614.3849235,47.43043
30,11,43,44,604.0122671,47.448317
10,39,23,40,624.3525152,37.251331
19,5,35,42,606.2242811,47.416649
12,12,23,43,593.9920359,41.112187
16,10,48,47,602.8797994,46.9801
51,26,11,26,600.2620087,39.173864
34,11,45,17,614.9535134,47.463705
48,41,41,32,615.3799193,47.461471
11,43,42,44,611.1518281,39.192576
19,40,20,48,623.4684644,47.434903
34,29,50,34,594.3991258,47.460564
44,37,41,11,607.3946629,46.773909
43,4,11,12,603.89027,38.896724
36,12,16,38,617.3353698,46.983888
23,47,10,29,604.1668551,37.230228
23,23,36,14,620.9319375,47.434509
17,23,39,48,600.3845081,47.328677
37,8,28,14,601.0711327,47.434899
46,31,18,47,612.9673483,47.433498
16,52,13,52,613.4011898,43.020289
6,38,18,14,606.8727705,28.587502
33,9,42,52,607.5322897,47.460103
36,5,19,14,603.7371292,47.43373
29,14,37,14,632.1894875,47.415359
27,50,30,24,662.9994984,47.460712
47,50,36,22,679.9014432,47.461483
22,37,33,48,686.7394602,47.445015
42,32,10,25,670.7015519,37.230249
31,46,22,44,684.5735078,47.461315
25,50,31,31,673.3856361,47.460704
37,44,20,9,691.3171072,44.075737
36,35,16,29,690.5648725,46.983583
27,19,45,23,677.0643706,47.443307
47,19,44,14,698.8283131,47.434371
15,52,47,24,689.6632354,46.297026
15,42,10,40,707.5878446,37.229899
16,42,6,36,694.4645789,28.670934
48,12,10,41,692.9667296,37.231567
18,17,16,39,702.5315795,46.966224
6,20,24,8,681.8417027,28.584758
39,39,21,16,713.1248164,47.433701
39,41,25,5,708.9702642,36.285405
4,33,19,45,718.3263428,23.287306
34,29,23,11,846.4827223,46.773895
28,11,49,31,801.5520501,47.45561
16,50,28,4,784.4175093,34.4157
44,43,41,40,825.1592762,47.451603
28,41,4,6,798.697979,21.809437
26,50,7,25,812.5695078,30.917478
16,4,40,15,796.3829989,46.906774
26,49,47,4,796.6053615,34.415746
7,25,39,23,785.7671754,31.026951
27,5,19,48,804.1920722,47.433627
16,50,9,26,825.3574841,35.223806
40,41,46,35,794.0222275,47.449468
51,38,36,12,807.1991735,47.214589
21,16,41,6,783.6549678,38.334957
6,26,8,24,788.5950491,28.646128
22,13,16,30,791.982214,46.983728
18,8,48,21,797.5307467,47.431824
28,18,24,49,807.1263137,47.459322
30,36,36,35,807.6455808,47.460243
21,8,32,4,781.4771588,34.405137
49,34,50,34,775.5438054,47.460903
24,36,43,26,817.4231923,47.459544
22,34,6,43,820.6045799,28.690523
25,48,32,44,808.3260064,47.460725
42,12,11,33,815.2263052,39.182222
18,23,21,41,801.4477718,47.434792
48,50,28,36,808.3876321,47.461264
50,45,32,24,808.0842919,47.460487
9,17,16,44,805.4324224,35.282808
12,15,47,52,810.0444834,41.110792
42,16,42,40,808.0985415,47.461443
41,30,25,39,796.7298934,47.461189
19,12,42,10,821.1657112,45.878426
18,30,46,42,802.9241488,47.434317
19,46,48,49,798.5014231,47.434251
20,26,45,15,814.8129351,47.435235
51,24,49,45,817.0387585,47.46108
42,4,48,7,795.8972189,40.238463
6,47,34,33,809.8038199,28.587093
18,6,51,51,797.6343162,47.433542
45,43,39,10,783.4436183,45.866852
9,21,47,27,757.4485936,35.262013
7,34,4,24,753.9159977,21.779125
17,26,9,40,753.5776143,35.214156
30,13,51,52,777.4947684,47.451325
25,48,30,24,769.2879293,47.444734
10,18,52,10,752.7465403,37.230583
41,50,15,17,790.2141483,46.295762
46,41,48,13,764.9775436,47.433299
6,50,33,21,763.7737565,28.566133
6,22,26,35,755.6306694,28.5746
42,12,48,15,781.9606423,47.435914
22,32,21,21,769.4394364,47.457921
16,50,34,43,794.7038236,46.97481
17,37,21,37,768.3795309,47.328648
30,5,23,31,782.6990356,47.441159
4,28,10,34,740.6402969,23.185949
21,15,50,11,777.0569999,46.767494
25,17,6,51,757.452796,28.690674
20,9,36,39,773.9206648,47.428365
36,19,14,26,848.5270078,44.92342
52,36,30,27,846.0173514,47.461281
48,13,19,45,813.473995,47.433821
14,15,33,32,820.6891627,44.923665
19,10,38,22,823.2248721,47.432742
48,38,5,7,816.9326534,26.816029
26,50,6,39,807.5830705,28.690517
43,10,39,41,834.0699105,47.46094
16,17,46,40,823.2509282,46.98272
52,12,47,25,809.2817256,47.454702
6,4,36,49,791.1129274,28.494306
28,41,48,27,831.9800718,47.456064
12,34,6,22,827.9763691,28.690778
47,12,35,11,799.9628966,46.774732
51,48,37,42,828.429776,47.461108
17,47,38,17,822.7725646,47.327991
46,23,8,15,828.6979547,33.147269
25,13,40,8,830.0766666,42.185812
38,13,41,42,818.9598775,47.456494
26,32,46,33,825.7394407,47.461001
33,23,24,45,787.9243629,47.459388
52,20,47,25,776.6129098,47.46021
13,47,6,20,764.7748814,28.690339
10,25,50,50,764.401732,37.256868
50,4,33,35,782.5496507,47.46116
34,51,50,20,789.9232862,47.460019
9,16,26,50,769.166853,35.282031
7,21,46,29,770.9315813,31.040276
12,19,20,4,770.2719359,34.414303
44,20,22,28,787.939769,47.460932
35,11,11,52,777.9229627,39.181724
11,23,17,19,806.5043094,39.192644
35,15,15,16,788.3314834,46.295451
15,30,40,9,777.1385312,44.07745
49,38,32,25,787.9405911,47.461509
47,39,21,35,802.953999,47.458539
41,27,38,39,795.7037387,47.459675
13,5,9,20,785.8869407,35.228824
42,39,16,36,799.4945054,46.983588
6,28,20,22,794.8637452,28.587102
7,37,34,39,813.296607,31.035367
4,23,37,37,794.234525,23.274097
33,37,41,13,809.1655409,47.431004
40,7,36,30,814.5149763,47.452143
48,18,45,37,834.2898202,47.45146
12,25,35,52,841.1584935,41.097759
34,14,38,32,834.2186589,47.442304
45,39,18,34,837.833463,47.419422
26,9,38,46,815.3686445,47.461287
47,48,51,31,824.1800406,47.441753
8,6,41,51,817.8346751,33.221067
13,13,31,36,821.3708198,43.016718
22,49,8,41,843.4467163,33.147969
28,30,31,8,835.1889577,42.180174
11,26,43,5,819.3377805,36.295514
32,49,12,31,846.6727145,41.084692
36,7,22,38,844.0879476,47.443997
30,43,37,40,855.8933136,47.457609
42,12,30,39,832.0393357,47.442972
22,34,7,7,829.9031837,30.936148
12,5,4,19,792.1789169,21.812967
38,40,40,29,811.2561541,47.461721
21,31,34,30,806.3711925,47.456886
25,26,17,21,804.8841691,47.32638
48,33,4,28,769.7214549,21.799228
18,24,41,40,791.3045423,47.434289
44,38,30,46,782.3665183,47.460468
50,17,52,12,800.0083516,47.222989
47,46,8,34,798.1918221,33.150086
34,29,15,32,792.8201551,46.296585
7,28,13,18,791.9548171,31.040099
39,26,23,52,793.1430748,47.457939
22,13,23,34,797.9960053,47.460203
31,8,11,21,789.0911698,39.178835
45,23,27,51,794.8786957,47.460734
24,8,12,36,775.4309046,41.103258
12,23,11,7,767.6957171,39.233404
8,22,16,16,769.1600742,33.231638
35,12,14,29,769.4083123,44.923623
33,52,15,31,773.2177553,46.296613
16,5,18,50,789.0891049,46.985531
17,23,33,51,799.3598256,47.308261
33,16,35,20,797.9507427,47.44205
23,24,23,16,815.0221672,47.450309
10,13,47,33,801.7906451,37.256866
32,45,25,25,813.629065,47.461072
22,21,47,17,819.3915625,47.463877
26,48,11,31,813.8426189,39.173813
27,16,42,22,813.4591115,47.46051
13,17,51,45,806.095078,43.001525
24,8,33,43,822.1758614,47.459036
21,15,31,15,824.4673753,47.417667
9,44,47,23,841.4345639,35.282241
13,42,49,40,825.0374177,43.020869
35,40,8,30,825.8516438,33.128967
43,44,6,28,836.2007174,28.690522
26,37,14,32,846.6651614,44.923877
14,32,46,47,833.8388307,44.906025
37,27,23,8,842.4158034,42.185805
22,26,24,13,838.7308369,47.433341
45,18,44,13,878.3656514,47.426782
9,39,45,28,869.1008074,35.282248
47,36,11,5,884.3779325,36.305868
14,26,5,18,842.2939699,26.700943
50,21,22,43,875.1510544,47.459527
43,4,35,32,875.6312957,47.453161
22,43,29,12,870.2756519,47.220435
47,4,46,51,878.753773,47.445506
42,24,23,24,870.2712977,47.447347
44,4,25,18,861.1078985,47.456984
6,47,37,32,890.0564921,28.587093
4,16,12,37,880.9492466,23.271236
48,20,35,18,897.6282086,47.445534
24,52,39,6,849.4767072,38.330716
9,33,32,17,873.2585511,35.282295
24,44,49,45,884.9770167,47.455527
37,35,6,19,874.9385912,28.681435
8,39,50,49,861.5673397,33.231736
18,34,49,41,877.0415411,47.434316
29,37,28,29,880.6334529,47.448576
9,29,8,49,875.2480714,33.14855
14,29,49,7,874.6862357,40.236582
11,5,32,47,851.9875224,39.191853
38,7,21,51,867.1507945,47.45758
24,7,19,40,855.9466307,47.434259
15,4,41,34,850.5492415,46.154216
7,33,39,11,866.2930148,31.041392
51,34,25,6,871.8894169,38.340586
51,36,37,9,871.3889759,44.075747
40,39,32,16,842.0482097,47.450114
41,41,17,12,856.9479384,47.217723
26,27,14,15,858.2425642,44.922612
8,6,5,38,857.909333,26.776053
52,27,33,7,858.9443729,40.235966
31,22,16,50,863.0117872,46.983667
26,32,7,14,844.3079233,30.918027
35,32,51,28,863.6185985,47.46083
20,21,13,51,860.1332376,43.020156
11,26,33,11,835.5603805,39.196117
24,36,49,24,842.8556731,47.459888
22,42,5,40,771.3537621,26.705837
4,41,22,48,767.0307918,23.274104
23,31,17,34,808.497427,47.315786
50,33,9,9,768.5708716,35.22424
