MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
imagenet-alexnet,benchmark,227x227,lne,CPU,F32,56.6,1.4,61.0,243.9,2.3,86.5,0.1,88.9,11.3,117258.7,7.7,2.4,7.6,2.4,3.9,4.0,68.1,0.0,0.0,40.0,39.0,8.5,0.9
imagenet-alexnet,benchmark,227x227,lne,GPU/CPU,F32,56.6,1.4,61.0,243.9,4.7,52.9,0.1,57.6,17.4,180880.4,15.0,6.7,9.7,3.0,2.0,2.0,100.0,0.0,0.0,35.8,37.5,9.2,1.3
imagenet-efficientb0,default,224x224,lne,CPU,F32,77.1,0.8,5.3,21.1,2.3,196.1,0.1,198.5,5.0,52484.3,7.3,2.2,7.3,2.3,1.4,2.0,67.3,0.0,0.0,39.6,38.9,7.8,0.3
imagenet-efficientb0,default,224x224,onnxruntime,CPU,F32,77.1,0.8,5.3,21.1,2.3,214.3,0.2,216.8,4.6,48068.2,7.3,2.2,7.3,2.3,1.3,2.0,69.0,0.0,0.0,40.0,39.2,8.3,0.2
imagenet-efficientb0,default,224x224,lne,GPU/CPU,F32,77.1,0.8,5.3,21.1,5.5,212.7,0.1,218.3,4.6,47729.0,13.0,6.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.8,37.5,9.2,0.2
imagenet-efficientb0,default,224x224,tensorrt,NPU/GPU,S8,77.1,0.8,5.3,5.3,5.4,53.9,1.6,60.9,16.4,171147.1,16.2,7.0,9.7,3.0,2.0,2.0,100.0,0.0,2.0,37.5,37.5,9.2,0.7
imagenet-efficientb0,default,224x224,tensorrt,GPU,F32,77.1,0.8,5.3,21.1,4.9,16.4,1.8,23.0,43.4,452032.7,15.9,7.0,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.2,37.5,9.2,1.9
imagenet-efficientb0,default,224x224,ncnn,GPU,F16,77.1,0.8,5.3,10.5,5.2,21.0,0.7,26.9,37.2,387776.5,10.2,5.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,1.6
imagenet-efficientb0,default,224x224,ncnn,GPU,F32,77.1,0.8,5.3,21.1,3.8,20.7,0.9,25.3,39.5,411443.3,10.3,5.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,1.7
imagenet-efficientb0,default,224x224,onnxruntime,CPU,F32,77.1,0.8,5.3,21.1,4.6,360.8,0.1,365.5,2.7,28506.2,9.8,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.0,37.5,9.2,0.1
imagenet-googlenet,benchmark,224x224,lne,CPU,F32,66.5,3.2,7.0,28.0,2.3,132.7,0.1,135.0,7.4,77153.2,7.5,2.3,7.5,2.4,2.0,2.0,68.0,0.0,0.0,40.1,39.3,8.2,1.4
imagenet-googlenet,benchmark,224x224,lne,GPU/CPU,F32,66.5,3.2,7.0,28.0,5.5,187.3,0.1,192.9,5.2,54023.5,13.2,6.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,37.5,37.5,9.2,0.9
imagenet-mobilenet,default,224x224,lne,CPU,F32,69.5,1.1,4.2,16.9,2.3,54.3,0.1,56.6,17.7,183949.2,7.0,2.2,7.0,2.2,1.6,2.0,64.7,0.0,0.0,39.8,38.8,8.1,1.2
imagenet-mobilenet,default,224x224,lne,GPU/CPU,F32,69.5,1.1,4.2,16.9,4.7,68.3,0.2,73.2,13.7,142331.0,12.9,6.2,9.7,3.0,2.0,2.0,99.9,0.0,0.0,36.0,37.5,9.2,0.8
imagenet-mobilenet-v2,fp32,224x224,lne,CPU,F32,71.8,0.6,3.5,14.0,2.1,67.7,0.1,69.8,14.3,149282.1,7.0,2.2,7.0,2.2,1.6,2.0,65.3,0.0,0.0,39.8,38.9,8.0,0.5
