var_0,var_1,time,memory
52,4,490.0317063331604,24.614758
44,26,498.0144484043121,49.402278
29,12,502.1096167564392,31.611998
50,5,509.6049554347992,24.520006
44,42,517.084009885788,49.402691
18,30,517.4192209243774,49.39967
13,4,521.7691810131073,24.624987
31,29,521.7198414802551,49.41152
12,8,521.9359204769135,25.325928
27,26,524.092823266983,49.406358
10,14,527.6225683689117,35.35851
29,11,528.3786458969116,29.802488
30,21,532.528774023056,48.353553
9,51,535.7455902099609,49.409287
34,52,542.2949931621552,49.408404
7,33,542.4958288669586,49.408575
21,48,543.483494758606,49.409841
30,51,549.8617403507233,49.410036
21,42,549.8440451622009,49.411249
33,24,549.9163157939911,49.399238
17,42,523.9407787322998,49.401129
11,15,513.786159992218,37.24044
50,48,522.6684107780457,49.40304
19,45,532.6442325115204,49.403111
21,9,510.42657995224,26.503563
12,7,502.2060339450836,24.664226
27,36,516.8298125267029,49.386873
34,46,523.4480714797974,49.40304
12,23,525.3072538375854,49.403319
5,26,519.3889336585999,49.396876
14,51,525.5570642948151,49.403141
20,5,500.6289119720459,24.498913
24,21,523.2737092971802,48.335567
52,12,519.2294969558716,31.59562
25,8,506.4796850681305,25.318152
15,44,536.3646049499512,49.386539
26,16,521.7515032291412,39.117128
24,37,521.0698964595795,49.387409
33,34,531.2078802585602,49.383481
15,30,535.3219916820526,49.384315
47,50,516.1415150165558,49.391488
43,10,511.15718150138855,28.067084
27,14,501.1196932792664,35.340884
52,24,524.062567949295,49.385075
17,50,518.6877443790436,49.391233
31,45,518.9764158725739,49.397289
24,52,512.9506409168243,49.391
49,37,518.4800291061401,49.397289
27,41,515.9988853931427,49.394216
50,9,507.748348236084,26.514284
47,8,504.376832485199,25.312401
30,50,520.1437425613403,49.396848
14,29,522.5883498191833,49.394852
47,21,520.7716290950775,48.346519
34,21,521.7927489280701,48.346518
44,22,528.2950174808502,48.967208
13,28,529.94810795784,49.395917
37,32,523.7057621479034,49.397357
16,49,521.8407049179077,49.395929
36,21,522.9249775409698,48.346519
25,6,504.7650175094605,24.470963
5,12,510.3182632923126,31.60696
51,47,534.3940961360931,49.397288
15,8,526.3834505081177,25.317532
13,39,524.5248167514801,49.395937
22,48,529.0199580192566,49.397233
24,52,535.084034204483,49.397288
40,17,531.0403225421906,41.031781
35,22,539.9190454483032,48.967207
24,21,530.3783452510834,48.348751
22,17,527.0591931343079,41.026211
18,49,542.4804356098175,49.400556
26,7,507.8184826374054,24.658313
26,37,535.7238781452179,49.397288
44,50,535.8693015575409,49.399305
33,10,513.6320366859436,28.069741
38,43,536.1668360233307,49.398224
8,36,523.7837479114532,49.401283
10,50,538.9601113796234,49.398932
25,44,532.2880373001099,49.398801
38,24,562.3864827156067,49.380787
20,33,565.5896000862122,49.38347
26,34,564.4998760223389,49.3872
48,42,548.1981997489929,49.396361
45,25,561.3371050357819,49.399071
48,9,552.6258327960968,26.510676
28,16,556.3949863910675,39.118039
31,36,563.2629427909851,49.385696
41,28,567.0370814800262,49.38225
20,8,554.7623348236084,25.308019
30,23,582.7800316810608,49.383781
35,10,555.0445289611816,28.060652
21,51,573.4984922409058,49.389477
37,16,568.7681829929352,39.121655
37,20,568.631679058075,46.671002
4,47,580.2102885246277,49.383664
44,48,583.5700969696045,49.395193
51,17,567.5977492332458,41.028029
47,37,577.9355709552765,49.394169
52,32,589.2883837223053,49.392141
47,15,655.420068025589,37.233224
17,42,662.8297030925751,49.395377
10,5,628.5371944904327,24.512689
52,15,639.8393445014954,37.233224
17,31,655.4103903770447,49.395378
16,49,652.7393810749054,49.395928
13,24,659.6217226982117,49.389833
52,29,652.7240633964539,49.398236
22,3,618.8521072864532,24.811453
52,17,637.3977980613708,41.02842
19,13,636.3205349445343,33.468559
5,27,639.1849756240845,49.391182
21,26,665.8820142745972,49.396273
50,19,649.354413986206,44.824696
9,7,610.3107006549835,24.657623
22,33,635.2413792610168,49.397234
44,29,643.9224843978882,49.398236
30,36,648.4796016216278,49.397289
26,24,652.4629306793213,49.389756
24,14,635.3029210567474,35.342981
46,17,521.4532673358917,41.032247
27,32,521.490891456604,49.400367
48,13,529.415420293808,33.47206
29,7,558.8841512203217,24.662715
11,32,560.1540479660034,49.408146
32,11,569.6516025066376,29.809721
21,10,579.8153374195099,28.06887
49,29,591.0285427570343,49.411632
41,38,591.6861171722412,49.407644
43,22,593.0071001052856,48.979195
15,47,595.6262261867523,49.411286
40,7,596.0993671417236,24.666796
20,11,613.2813122272491,29.799719
39,52,620.7715735435486,49.41078
9,15,624.9580523967743,37.250184
34,35,627.5979075431824,49.406011
14,47,634.8598916530609,49.410897
52,9,636.7823030948639,26.52219
40,38,639.3448905944824,49.403563
32,40,650.3782472610474,49.398667
31,40,609.0638132095337,49.40304
22,31,623.5288169384003,49.402978
6,33,601.3292047977448,49.386828
33,36,623.6689426898956,49.40304
10,46,625.206090927124,49.382068
52,44,595.4868326187134,49.382457
42,33,671.2149043083191,49.40304
34,31,610.2546808719635,49.388183
44,19,610.9165933132172,44.812088
33,10,579.5080189704895,28.057597
11,35,650.8971900939941,49.402726
36,12,619.7741420269012,31.613979
44,22,651.6421210765839,48.97296
37,4,633.5554203987122,24.617555
50,47,674.3343570232391,49.384065
43,26,646.9562976360321,49.38562
23,31,642.6577415466309,49.390264
19,30,640.6283111572266,49.403101
16,52,627.0969889163971,49.40168
39,5,683.5642578601837,24.517907
19,39,646.8451919555664,49.393119
8,52,658.5270988941193,49.397587
9,26,647.0889551639557,49.393994
21,20,696.5066165924072,46.675578
34,33,631.3847007751465,49.397289
19,49,648.6239814758301,49.39736
35,15,684.5750019550323,37.233225
40,14,622.5157678127289,35.342981
28,44,662.3257768154144,49.391
4,39,707.9930698871613,49.390584
11,48,689.6508231163025,49.396975
15,21,640.7771008014679,48.341558
14,41,695.417266368866,49.395925
10,24,739.2970268726349,49.386146
48,21,689.7369532585144,48.346519
44,36,698.3640878200531,49.397384
36,44,692.1241052150726,49.397289
11,21,734.1946249008179,48.350026
45,6,742.2552859783173,24.469819
21,19,758.2048945426941,44.819657
51,41,597.297905921936,49.397288
8,5,591.5501821041107,24.514748
26,22,599.8550753593445,48.970904
20,30,600.6189155578613,49.399459
10,17,594.7019324302673,41.030015
6,5,572.5092880725861,24.52361
30,24,611.6538650989532,49.393836
6,20,631.9129827022552,46.684346
