var_0,var_1,var_2,time,memory
24,43,34,332.64146614074707,7.340558
10,34,35,333.0564601421356,7.333644
43,31,43,335.97886180877686,7.337061
15,35,5,336.20841813087463,3.449249
19,42,43,336.0288827419281,7.334749
12,48,51,337.52271461486816,7.341264
9,43,39,337.6624913215637,7.328182
28,25,9,337.54912304878235,4.415911
4,52,13,338.0926833152771,5.572526
6,29,13,338.94475197792053,5.564364
21,46,35,339.1325330734253,7.338584
9,28,7,342.5601227283478,3.879879
49,12,7,343.128093957901,3.88247
19,8,41,343.90525817871094,7.331541
35,43,37,344.2441647052765,7.336039
42,8,14,344.70922231674194,5.854899
23,20,44,345.0420808792114,7.328496
49,29,14,344.9285433292389,5.852503
46,25,51,345.5476224422455,7.332213
26,50,25,354.53779673576355,7.339064
51,40,44,383.9509425163269,7.316423
14,9,9,390.0715939998626,4.421172
33,7,14,391.5451400279999,5.839449
37,32,13,387.78974771499634,5.568374
35,20,47,387.43390440940857,7.334729
9,12,13,383.6155297756195,5.568995
16,36,40,392.5087487697601,7.334193
17,20,14,393.5579743385315,5.859623
28,5,9,394.6248092651367,4.422708
29,51,12,390.0442361831665,5.280045
35,20,33,390.41542625427246,7.335201
23,21,14,398.8588540554047,5.859645
37,41,44,398.1565661430359,7.335026
35,30,6,390.9449100494385,3.642736
31,15,40,400.5713264942169,7.313363
30,10,31,396.2142970561981,7.334713
4,43,31,397.1444022655487,7.33352
15,36,43,399.9623808860779,7.334779
7,49,33,402.3312790393829,7.333335
21,31,12,396.5175230503082,5.259368
52,42,8,353.5248255729676,4.135235
51,46,36,355.3888804912567,7.328439
25,45,18,349.6614022254944,6.978903
17,20,18,349.2154235839844,6.970739
13,52,38,355.3243236541748,7.323044
16,15,9,355.2852747440338,4.406467
23,37,40,362.59539127349854,7.328727
5,38,30,352.958752155304,7.324831
41,17,13,346.79116225242615,5.563672
41,13,42,361.1807773113251,7.321491
42,42,7,351.7970242500305,3.873105
18,31,46,355.4311852455139,7.326811
34,47,43,354.65999126434326,7.328498
32,46,52,363.4934408664704,7.319197
29,6,37,355.34467792510986,7.321826
37,27,19,343.90429496765137,7.163962
52,49,20,350.4725682735443,7.271516
14,26,31,350.46987414360046,7.323649
25,37,15,357.7989032268524,6.131177
11,36,43,354.20396757125854,7.329028
34,27,9,331.54019141197205,4.41542
44,6,7,326.1207518577576,3.876272
9,45,5,328.35203647613525,3.449883
44,4,52,330.5931558609009,7.330646
50,41,5,329.5981776714325,3.449234
28,25,28,326.2423248291016,7.328901
43,12,19,327.5521197319031,7.175272
16,44,45,333.16251516342163,7.328438
33,25,41,326.0843768119812,7.329135
20,7,39,328.0230555534363,7.328717
35,6,38,329.79929661750793,7.329941
14,50,38,327.4877598285675,7.32879
