MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
incar-object-detection-nanodet,resnet50,640x480,onnxruntime,CPU,F32,52.0,24.4,97.4,25.5,4690.5,6.0,4722.0,0.2,2206.5,5.9,1.3,5.9,1.9,2.0,2.0,100.0,0.0,0.0,41.5,40.2,9.7,0.6
incar-object-detection-nanodet,resnet50,640x480,lne,GPU/CPU,F32,52.0,24.4,97.4,23.5,691.8,3.6,718.8,1.4,14494.1,14.6,6.7,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.0,37.5,9.2,3.9
incar-object-detection-nanodet,resnet50,640x480,tensorrt,NPU/GPU,S8,52.0,24.4,24.4,23.3,207.4,7.2,237.8,4.2,43814.0,16.7,7.2,9.7,3.0,2.0,2.0,100.0,0.0,4.0,36.5,37.5,9.2,11.9
incar-object-detection-nanodet,resnet50,640x480,tensorrt,GPU,S8,52.0,24.4,24.4,22.3,16.5,8.2,47.0,21.3,221615.0,16.2,7.0,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,60.3
incar-object-detection-nanodet,resnet50,640x480,tensorrt,NPU/GPU,F16,52.0,24.4,48.7,24.2,279.8,5.8,309.7,3.2,33637.7,17.0,7.3,9.7,3.0,2.0,2.0,100.0,0.0,4.0,36.5,37.5,9.2,9.1
incar-object-detection-nanodet,resnet50,640x480,tensorrt,GPU,F16,52.0,24.4,48.7,21.1,24.7,7.0,52.9,18.9,197114.0,16.5,7.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,53.6
incar-object-detection-nanodet,resnet50,640x480,tensorrt,GPU,F32,52.0,24.4,97.4,22.9,80.9,6.9,110.6,9.0,94183.4,17.3,7.4,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,25.6
incar-object-detection-nanodet,resnet50,640x480,ncnn,GPU,F16,52.0,24.4,48.7,20.9,145.4,11.3,177.6,5.6,58670.4,13.5,6.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.5,37.5,9.2,16.0
incar-object-detection-nanodet,resnet50,640x480,ncnn,GPU,F32,52.0,24.4,97.4,23.1,143.7,10.7,177.5,5.6,58697.5,13.5,6.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.0,37.5,9.2,16.0
incar-object-detection-nanodet,resnet50,640x480,onnxruntime,CPU,F32,52.0,24.4,97.4,24.8,5057.4,5.6,5087.8,0.2,2047.9,10.0,5.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,36.2,37.5,9.2,0.6
