var_0,var_1,var_2,var_3,time,memory
10,21,34,34,73.86261653900146,40.279071
33,13,33,13,74.26294469833374,50.457032
15,6,36,6,74.32586359977722,41.363516
7,52,38,14,74.8019061088562,34.064004
48,24,5,31,75.14639401435852,29.72904
25,5,18,9,75.37001609802246,47.096772
42,32,51,44,75.44104433059692,50.483189
19,15,40,50,75.41092205047607,50.457224
34,41,52,51,75.5183539390564,50.484188
38,32,23,12,75.53056788444519,50.246936
46,26,11,8,75.56477403640747,42.18323
11,31,47,9,75.65314936637878,42.190335
18,48,48,16,75.67812657356262,50.457415
35,35,19,39,75.71072578430176,50.454
16,29,33,47,75.72310018539429,50.006924
31,11,32,34,75.67658638954163,50.483793
39,19,23,41,75.85928678512573,50.479
37,40,42,45,75.82812666893005,50.484178
52,12,15,29,75.8522264957428,49.318573
46,40,37,30,75.92653489112854,50.481301
7,20,27,17,73.81585717201233,34.056545
34,24,36,27,74.90333080291748,50.476736
45,20,8,20,73.33358192443848,36.1656
12,51,50,42,74.66477251052856,44.125985
51,51,48,48,73.71580410003662,50.476172
32,9,14,36,74.94375967979431,47.927509
42,9,47,47,74.05879068374634,50.476826
7,16,27,11,74.12439250946045,34.054748
31,17,10,13,75.22510862350464,40.242265
11,8,12,37,74.64767909049988,42.218366
24,4,22,15,74.89164662361145,50.452436
15,45,9,47,74.88314819335938,38.247039
42,15,36,9,75.03850746154785,47.09135
52,43,42,24,74.95927429199219,50.476337
32,6,13,40,74.92779994010925,46.031676
28,20,33,7,75.15924191474915,43.251905
18,28,49,24,75.04836320877075,50.450636
47,38,43,45,75.34992170333862,50.476685
35,50,32,23,75.25533604621887,50.477337
17,38,40,47,75.24874687194824,50.344965
9,5,40,29,74.14212489128113,38.297411
12,46,20,14,74.40531063079834,44.126521
46,37,45,14,74.95746946334839,50.45083
21,32,41,28,74.68855547904968,50.473332
24,31,47,10,75.12365078926086,48.895076
28,51,29,23,74.89901924133301,50.477081
48,12,16,40,75.28497838973999,50.000148
42,34,31,37,75.05092859268188,50.477322
6,51,8,14,74.47046756744385,31.662754
42,23,5,33,74.41372489929199,29.722273
16,22,39,24,74.97398281097412,50.00172
45,37,51,13,74.91053795814514,50.449577
45,35,20,28,75.30502033233643,50.459505
50,15,8,37,74.93041253089905,36.166651
45,32,49,7,75.3311231136322,43.252393
45,15,47,16,74.96124744415283,50.467856
17,29,10,9,75.02699208259583,40.203238
18,11,23,24,75.17102360725403,50.449118
20,51,23,32,75.74429869651794,50.458698
41,31,25,51,75.52472233772278,50.477457
