MODEL,ENGINE,PROCESSOR,PRECISION,utilization,temperature,POWER_CONSUMPTION,voltage,INFERENCE_TIME
imagenet-mobinenetv2,acl,NPU,F32,64,41,12.8,83,11.2428
imagenet-mobinenetv2,acl,NPU,F32,64,41,12.8,83,11.9771
mnist-lenet5,acl,NPU,F32,65,42,12.8,83,6.47865
nanodet-Efficientnet,acl,NPU,F32,67,42,12.8,83,27.8778
nanodet-plus-m-320x256,acl,NPU,F32,66,42,12.8,83,18.0177
nanodet-Resnet,acl,NPU,F32,67,42,12.8,83,17.0941
imagenet-mobinenetv2,acl,NPU,F32,68,42,12.8,83,10.7026
imagenet-mobinenetv2,acl,NPU,F32,68,42,12.8,83,11.4556
imagenet-mobinenetv2,acl,NPU,F32,67,42,12.8,83,10.5151
imagenet-mobinenetv2,acl,NPU,F32,67,42,12.8,83,10.6396
imagenet-mobinenetv2,acl,NPU,F32,67,42,12.8,83,10.566
imagenet-mobinenetv2,acl,NPU,F32,67,42,12.8,83,10.4735
imagenet-mobinenetv2,acl,NPU,F32,68,42,12.8,83,10.8246
imagenet-mobinenetv2,acl,NPU,F32,67,42,12.8,83,10.6453
imagenet-mobinenetv2,acl,NPU,F32,67,42,12.8,83,11.0036
imagenet-mobinenetv2,acl,NPU,F32,68,42,12.8,83,14.2847
nanodet-plus-m-320x320,acl,NPU,F32,67,42,12.8,83,18.6638
nanodet-plus-m-320x320,acl,NPU,F32,67,42,12.8,83,18.4537
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,18.4852
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,18.7067
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,19.2445
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,18.9582
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,19.7903
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,18.5132
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,18.7727
nanodet-plus-m-320x320,acl,NPU,F32,68,42,12.8,83,18.4472
nanodet-plus-m-320x256,acl,NPU,F32,68,42,12.8,83,17.2635
nanodet-plus-m-320x256,acl,NPU,F32,67,42,12.8,83,17.1776
nanodet-plus-m-320x256,acl,NPU,F32,67,42,12.8,83,17.1415
nanodet-plus-m-320x256,acl,NPU,F32,67,42,12.8,83,17.0895
nanodet-plus-m-320x256,acl,NPU,F32,68,42,12.8,83,17.6811
nanodet-plus-m-320x256,acl,NPU,F32,68,42,12.8,83,17.1256
nanodet-plus-m-320x256,acl,NPU,F32,68,42,12.8,83,18.655
nanodet-plus-m-320x256,acl,NPU,F32,68,42,12.8,83,17.4802
nanodet-plus-m-320x256,acl,NPU,F32,68,42,12.8,83,18.9227
nanodet-plus-m-320x256,acl,NPU,F32,68,42,12.8,83,18.7737
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,28.5596
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,28.1533
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,28.4913
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,27.8395
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,28.1394
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,27.8988
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,27.8154
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,28.4669
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,27.9804
nanodet-Efficientnet,acl,NPU,F32,69,42,12.8,83,28.3391
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.77
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.3416
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.2879
nanodet-Resnet,acl,NPU,F32,69,43,12.8,83,16.1873
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.295
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.1055
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.463
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,17.0323
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.9075
nanodet-Resnet,acl,NPU,F32,69,42,12.8,83,16.3903
nanodet-plus-m-320x320,acl,NPU,F32,24,39,12.8,83,18.459
nanodet-plus-m-320x320,acl,NPU,F32,24,38,12.8,83,18.552
nanodet-plus-m-320x320,acl,NPU,F32,24,39,12.8,83,18.8574
nanodet-plus-m-320x256,acl,NPU,F32,24,39,12.8,83,17.6379
nanodet-plus-m-320x256,acl,NPU,F32,25,39,12.8,83,19.8152
nanodet-plus-m-320x256,acl,NPU,F32,25,39,12.8,83,17.5318
nanodet-Resnet,acl,NPU,F32,26,39,12.8,83,17.1605
nanodet-Resnet,acl,NPU,F32,26,39,12.8,83,16.996
nanodet-Resnet,acl,NPU,F32,26,39,12.8,83,17.1891
nanodet-Efficientnet,acl,NPU,F32,27,39,12.8,83,27.7728
nanodet-Efficientnet,acl,NPU,F32,27,39,12.8,83,28.1696
nanodet-Efficientnet,acl,NPU,F32,27,39,12.8,83,28.1753
imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,10.6579
imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,10.9255
imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,11.121
imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,10.6103
imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,12.0284
imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,11.2628
imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,10.4817
imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,10.5359
imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,12.6523
imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,11.3503
imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,11.4605
mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.07141
mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.06052
mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.40135
mnist-lenet5,acl,NPU,F32,25,39,12.8,83,5.71339
