var_0,var_1,var_2,var_3,time,memory
35,35,19,39,67.7992084,47.436602
15,6,36,6,68.16355419,38.348756
19,15,40,50,68.29578614,47.449325
39,19,23,41,68.98356557,47.461532
42,32,51,44,69.14923859,47.469466
16,29,33,47,69.25359988,46.98951
10,21,34,34,69.4035058,37.262048
48,24,5,31,69.69553733,26.713439
33,13,33,13,69.87069368,47.443962
7,52,38,14,69.92315555,31.05346
25,5,18,9,70.53279257,44.080144
46,26,11,8,70.66556215,39.173567
34,41,52,51,70.92871475,47.471317
38,32,23,12,71.1218698,47.234697
11,31,47,9,71.24906373,39.1741
31,11,32,34,71.35912681,47.475005
52,12,15,29,71.35862207,46.31148
18,48,48,16,71.44504738,47.445992
37,40,42,45,71.48108077,47.477035
46,40,37,30,71.67540121,47.463776
42,9,47,47,67.36136818,47.450571
45,20,8,20,68.9279263,33.159022
28,20,33,7,70.54112792,40.244166
32,9,14,36,70.45949888,44.920932
7,16,27,11,68.68089652,31.048138
15,45,9,47,69.68277907,35.219223
7,20,27,17,70.47232914,31.028191
24,4,22,15,69.26424599,47.4452
31,17,10,13,70.79554868,37.235684
12,51,50,42,70.619699,41.11875
34,24,36,27,71.18859863,47.469993
51,51,48,48,70.14267969,47.469586
11,8,12,37,69.23881888,39.191617
35,50,32,23,71.73041868,47.47028
52,43,42,24,71.75928354,47.469419
18,28,49,24,70.39935541,47.424979
42,15,36,9,70.74924469,44.084766
32,6,13,40,71.21724057,43.024279
17,38,40,47,71.31301093,47.320483
47,38,43,45,71.80147052,47.469452
42,34,31,37,68.57029557,47.463983
42,23,5,33,70.31943774,26.698877
9,5,40,29,70.75078583,35.281148
46,37,45,14,69.21400142,47.437487
48,12,16,40,71.07928085,46.983401
45,37,51,13,69.27943492,47.436244
28,51,29,23,70.08599639,47.461746
21,32,41,28,70.70923352,47.458487
12,46,20,14,70.5741396,41.107459
45,32,49,7,69.28665376,40.233872
20,51,23,32,71.06938529,47.444967
24,31,47,10,70.94025612,45.874946
45,15,47,16,68.71562052,47.45452
18,11,23,24,69.78190994,47.435773
45,35,20,28,71.31945968,47.442051
6,51,8,14,70.94437289,28.642092
16,22,39,24,71.27130318,46.98838
17,29,10,9,71.24321485,37.1815
50,15,8,37,70.16266561,33.153311
41,31,25,51,70.99372959,47.455182
15,32,10,36,69.62659979,37.234912
23,46,8,5,69.38348269,32.995479
50,21,34,40,69.79498529,47.464148
19,26,38,26,68.70155787,47.437373
9,33,29,45,68.70796442,35.286542
4,6,21,17,67.8177712,23.292038
34,32,31,14,69.46511078,47.438501
51,5,51,15,69.41787004,47.438787
32,44,51,5,69.35523987,36.309646
52,35,8,45,69.09720159,33.155274
11,24,51,48,68.95791268,39.195689
42,17,49,46,69.49891734,47.463867
15,8,43,44,69.18684959,46.30453
30,35,12,35,69.34214401,41.103837
39,45,52,31,69.903615,47.464863
23,35,44,9,70.11800957,44.078992
35,38,49,16,69.75023794,47.453231
49,49,28,36,69.75059462,47.466065
10,46,31,11,69.64790463,37.263656
37,27,12,35,69.3426199,41.103836
6,8,51,50,69.52813363,28.585943
4,21,15,46,68.65069604,23.28181
6,50,52,20,68.93306708,28.578494
5,30,17,14,68.95390582,25.803615
35,49,43,34,68.2909162,47.453991
43,52,16,9,69.78837919,44.080762
35,38,25,52,69.25650716,47.454557
25,52,22,20,70.22235084,47.457292
18,35,47,40,69.08007979,47.423736
30,28,40,40,69.11308312,47.459795
21,32,51,6,69.1511662,38.341175
9,44,51,34,69.85411334,35.269378
47,18,13,44,69.72770524,43.007983
25,11,41,4,69.40929103,34.421219
23,26,36,43,69.3106451,47.452761
21,35,6,4,69.84298682,29.21222
46,5,52,47,69.88346004,47.44528
36,43,13,16,70.0309577,43.003628
47,9,21,28,69.16547513,47.46203
23,25,26,43,69.77476263,47.453553
25,5,37,11,69.38104963,46.776378
28,36,14,36,69.43861032,44.927006
4,47,32,21,69.6860671,23.290592
50,25,33,50,70.06279302,47.462082
25,20,36,42,68.93512869,47.464048
13,11,48,13,69.17549849,43.023857
22,23,6,28,70.36034703,28.693645
6,30,12,6,67.17083335,28.61535
17,33,10,24,69.12429833,37.233188
15,29,11,31,69.25017095,39.176999
5,44,30,40,68.98651218,25.816562
29,51,51,13,70.09579849,47.436246
43,36,20,40,69.70868635,47.446149
32,38,13,47,68.93241572,43.023503
50,47,33,42,70.24508548,47.464493
12,49,15,51,69.39208078,41.117259
19,52,44,40,68.95169187,47.436977
7,43,23,29,70.09561801,31.043411
26,40,26,40,70.45337605,47.463508
33,32,21,17,69.951401,47.460753
26,24,45,45,67.72716498,47.446662
4,35,9,46,67.88464284,23.146586
45,23,33,16,68.39462161,47.454459
25,20,50,13,68.63602948,47.438059
16,5,35,42,69.14919639,46.98759
17,47,16,35,69.16479611,46.988063
17,25,35,40,69.27197123,47.333031
8,30,14,6,68.60317349,33.175469
44,33,29,44,67.95000958,47.46551
26,41,24,13,68.50989676,47.437518
44,19,39,32,68.89539528,47.446957
15,31,15,36,68.92235374,46.301488
30,17,8,51,69.21882486,33.15482
40,31,35,14,69.78639269,47.422292
46,32,5,46,66.92110181,26.690082
44,51,19,50,68.74276614,47.438061
46,16,21,4,69.38874578,34.420092
50,52,12,37,69.45477629,41.105057
30,52,50,13,69.41969442,47.43747
41,5,48,17,69.70835519,47.467992
37,49,23,50,69.37855625,47.461279
40,42,22,5,67.91553807,36.302911
34,14,6,25,68.5480206,28.677369
52,51,25,9,69.18293715,44.065018
33,7,22,30,69.25120807,47.460659
8,8,31,11,69.34412742,33.228168
44,49,42,5,69.41231275,36.30415
37,9,10,31,69.84344149,37.224842
42,29,20,20,68.9352901,47.445881
23,8,39,22,69.03076506,47.451438
9,16,28,48,66.93373275,35.270452
22,52,46,19,68.20133257,47.464185
19,7,47,18,69.65232444,47.430045
27,6,21,16,68.97958302,47.452645
23,50,17,41,69.22839499,47.329077
47,26,6,30,70.61523533,28.691591
46,9,43,40,69.18511319,47.45435
31,18,21,23,68.91003871,47.448797
20,41,37,6,69.09940195,38.33174
45,13,21,9,69.20593071,44.077433
6,50,19,44,69.39021492,28.590168
18,21,14,47,69.63914871,44.926555
21,40,36,8,69.61905932,42.188916
10,36,40,31,68.77494025,37.259979
30,21,36,40,68.77752733,47.463693
20,44,49,36,69.09814,47.445958
39,23,12,15,69.17400265,41.102421
48,51,28,32,69.14215994,47.464301
26,16,48,44,69.19554687,47.464503
31,10,33,22,69.28977323,47.464054
29,37,21,6,69.33975053,38.343705
50,34,47,17,69.4953866,47.466185
38,48,36,37,69.53445077,47.464208
50,24,48,33,69.1363349,47.463869
47,30,19,41,69.13605714,47.436827
45,18,9,29,69.17932177,35.233795
28,10,20,11,69.2948215,46.775024
36,10,45,44,69.66328788,47.463953
38,19,15,4,69.08410454,34.418865
18,14,24,35,69.16512752,47.438005
39,32,52,38,69.48929977,47.450566
9,39,15,37,69.4985013,35.284997
24,37,4,15,69.53038621,21.802484
30,21,49,36,69.16224933,47.46373
39,39,28,4,69.24224234,34.403946
49,38,45,52,69.68988085,47.444903
15,30,47,7,69.66839194,40.219128
40,12,45,46,70.10242534,47.464684
42,8,17,34,69.61026573,47.331384
9,24,24,9,69.77655172,35.261472
26,4,47,17,69.50640941,47.452111
34,20,4,14,69.30752945,21.802476
15,25,8,19,69.18379402,33.143466
47,47,45,46,69.71039248,47.463771
28,27,26,43,69.8452723,47.447922
41,22,37,10,69.59288263,45.863872
43,20,42,43,69.55646253,47.463771
17,34,15,30,69.26674199,46.298701
36,33,7,44,69.75147724,30.922144
21,9,7,12,69.63036966,30.915131
31,44,47,49,73.80802226,47.463791
18,28,51,41,71.25873685,47.437124
34,4,52,4,71.32818532,34.409482
9,43,7,49,68.99319744,30.921433
38,26,47,38,68.34010291,47.464806
13,36,31,40,71.37568951,43.016712
49,38,5,34,71.48386765,26.709155
43,21,14,49,71.55226111,44.926961
46,6,41,20,71.69830036,47.464561
24,28,11,18,72.48617101,39.17745
12,8,6,8,71.41049457,28.69966
16,34,47,52,71.71230459,46.987384
33,11,24,40,71.72606421,47.463265
12,27,42,5,71.78013945,36.309476
8,34,32,25,70.31289816,33.235043
23,35,37,32,72.64586902,47.457312
22,11,14,38,71.71877789,44.921692
43,43,43,39,71.86352062,47.461244
29,39,41,17,71.03695846,47.460934
48,43,10,36,73.45480585,37.233559
16,6,49,51,68.38802576,46.986974
33,7,39,47,69.92144847,47.463748
34,12,49,7,69.27686954,40.239085
39,14,41,37,69.49561,47.463972
17,50,51,19,68.99488926,47.332056
16,33,10,8,69.06365013,37.189088
52,41,35,29,69.24975038,47.464732
33,22,50,52,70.00933719,47.463055
35,19,37,5,70.0228076,36.309646
33,39,25,31,69.36414123,47.464232
24,41,42,46,69.40907478,47.462868
15,40,50,12,69.65108657,46.301699
29,6,5,16,69.97121954,26.771252
24,8,39,50,69.37000608,47.462196
23,22,22,34,70.01290178,47.464743
4,47,50,6,67.74817562,23.203119
28,7,52,10,69.52750897,45.882816
31,29,5,27,69.872787,26.708965
39,37,38,48,69.97174954,47.463865
19,40,20,13,70.9134388,47.436462
4,11,26,15,66.9026475,23.291786
45,52,25,38,70.84993362,47.458476
40,26,43,14,69.14288449,47.421348
5,47,22,6,68.50461698,25.790195
34,44,5,45,68.19252753,26.700685
47,45,20,22,70.36369491,47.446051
6,21,45,10,70.62575912,28.563976
21,26,48,38,70.57744622,47.459954
41,52,45,33,70.70100117,47.449917
42,17,21,22,68.84142995,47.455525
23,9,34,9,68.06375194,44.057871
18,20,29,25,70.87102938,47.428079
43,14,8,40,68.63097048,33.142174
36,30,34,47,69.27927041,47.46313
10,52,10,11,70.34243155,37.206952
18,44,9,51,70.96257472,35.22701
13,49,14,35,70.70085192,43.011637
6,27,36,37,70.15166903,28.590211
44,26,16,43,70.9308877,46.967955
18,28,24,51,70.17717624,47.427147
42,31,20,9,69.58987904,44.078851
50,40,4,19,69.3260498,21.802352
51,45,5,43,70.03847241,26.708968
37,35,29,51,70.12887955,47.464159
50,22,7,16,70.17580009,30.921832
50,11,13,7,69.78448629,40.239057
32,21,14,4,69.30883694,34.418818
9,15,33,17,69.34016943,35.285099
21,23,25,14,69.48313522,47.437537
14,51,27,4,69.27814555,34.418718
18,29,42,44,69.63223386,47.436771
5,37,6,26,69.5995543,26.842893
30,9,32,13,69.79261446,47.437809
22,34,27,52,69.81302309,47.462727
22,8,17,48,69.46985865,47.330919
11,32,9,42,69.29727173,35.234893
34,37,43,19,69.66209769,47.460701
27,42,21,17,68.43257236,47.460765
25,25,29,18,68.91279125,47.462088
26,52,18,6,70.24323034,38.3437
10,30,19,10,66.96910715,37.229858
11,28,14,14,68.78929186,39.199701
11,49,12,45,69.08567691,39.185077
16,16,33,46,67.80765629,46.987419
35,25,17,6,69.12323236,38.343634
45,10,26,11,69.09919858,46.775364
18,50,28,28,68.27696252,47.43743
20,41,40,9,68.76533985,44.078842
14,19,13,41,69.53997087,43.002667
18,47,15,11,69.63847184,46.304448
35,44,44,35,69.45098901,47.463989
45,23,33,37,69.64105344,47.464127
15,42,4,45,69.06559181,21.802364
12,6,48,14,70.26427245,41.111608
14,5,36,20,69.15047741,44.925465
43,16,36,18,69.40735054,47.461331
42,21,9,22,70.56037688,35.233895
44,46,42,23,69.74755263,47.464484
30,5,38,51,70.59630513,47.46351
11,15,48,29,70.36996603,39.195707
33,49,31,36,69.78908277,47.464223
31,21,20,48,69.66858053,47.436736
44,18,13,12,69.67138338,43.019026
30,5,40,8,70.32668972,42.158283
51,22,24,24,69.09559321,47.461286
19,41,45,43,69.38893557,47.433147
18,9,30,28,69.57914996,47.421076
4,30,14,44,69.38613701,23.277841
25,20,12,28,69.76653028,41.087071
45,8,30,42,71.38151884,47.449531
51,38,18,42,72.10923243,47.418311
32,15,7,9,70.51048088,30.914338
47,39,26,23,70.64269423,47.455709
34,47,28,33,70.77005577,47.46408
5,24,41,29,69.61509323,25.803887
5,36,23,16,69.47887564,25.806502
33,7,35,26,71.09009051,47.448915
44,15,27,48,69.53925323,47.451818
28,25,48,23,71.9771266,47.463903
16,43,8,15,70.4344039,33.147786
41,7,43,39,68.92987514,47.46375
15,50,5,31,68.45539451,26.709056
44,51,10,30,69.28125238,37.233363
37,42,37,47,69.06323814,47.463576
48,25,13,20,69.48394775,43.023449
31,13,29,47,69.08394337,47.464196
37,11,22,22,68.75549054,47.463145
7,48,23,14,69.77647948,31.043272
21,52,21,48,68.75291014,47.461007
33,26,39,40,68.95416713,47.463991
6,29,25,18,68.92569709,28.590214
13,26,29,17,68.89888954,43.023764
38,25,46,8,68.96306157,42.188925
32,13,44,20,69.98911452,47.463546
19,21,13,37,69.68227625,43.02309
49,12,16,43,69.57121229,46.987008
43,12,13,43,68.66193032,43.024141
8,16,9,30,69.79894924,33.265421
45,21,7,8,69.32409072,30.88243
23,23,52,50,69.95779705,47.461422
43,12,7,11,68.78958654,30.92271
49,12,51,12,69.09202981,47.212208
21,49,42,40,69.56900048,47.460177
21,35,16,12,69.21181607,46.973816
10,33,26,26,66.71373081,37.260141
44,24,31,8,69.53655982,42.167988
6,8,32,17,68.56565261,28.590262
11,19,13,40,68.52879095,39.198832
51,49,35,26,69.00495911,47.463661
25,20,40,7,69.22352791,40.21954
44,24,11,45,68.34114599,39.177076
51,40,52,8,68.94340634,42.171505
36,14,18,48,69.38382792,47.43605
52,41,25,39,69.36996722,47.450863
52,14,31,30,68.47331738,47.464905
6,8,11,4,68.27478433,28.658498
7,28,38,40,66.97665834,31.043595
7,48,31,16,66.86654258,31.043505
51,51,47,9,68.70509815,44.063028
25,35,26,34,68.87342262,47.444823
37,33,33,38,69.42063093,47.464084
12,36,27,8,69.27148652,41.132477
15,48,20,4,69.61784005,34.416712
11,38,24,15,68.67658782,39.188311
19,32,14,10,69.13319731,44.922802
44,30,8,30,66.9545033,33.153203
44,14,51,28,69.64548087,47.463481
23,17,16,25,68.58724284,46.977438
11,32,5,29,69.27690578,26.69812
34,27,51,14,69.02078414,47.427631
40,12,15,31,69.80346322,46.298079
27,45,22,7,69.85144067,40.239085
49,36,27,42,69.15939975,47.463458
31,44,25,39,69.23837924,47.462688
7,20,25,32,68.84565997,31.038443
39,21,4,6,68.91800284,21.80411
23,52,22,36,69.56817532,47.461525
