MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
body-pose-openpifpaf,regnety800mf-hands,192x144,onnxruntime,CPU,F32,1.0,7.2,28.6,13.6,547.4,43.5,604.5,1.7,5558.2,22.4,0.3,0.0,0.0,0.0,0.0,52.5,0.0,0.0,56.7,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-hands,256x192,lne,GPU/CPU,F32,1.8,7.2,28.6,17.2,388.7,41.7,447.7,2.2,7504.7,25.0,0.4,0.0,0.0,0.0,0.0,51.9,0.0,0.0,57.1,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-hands,256x192,onnxruntime,CPU,F32,1.8,7.2,28.6,16.9,854.3,47.7,918.9,1.1,3656.5,23.5,0.4,0.0,0.0,0.0,0.0,52.7,0.0,0.0,57.4,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-wholebody,128x96,lne,GPU/CPU,F32,0.4,7.2,28.6,4.8,111.7,22.2,138.7,7.2,24218.3,24.2,0.4,0.0,0.0,0.0,0.0,48.8,0.0,0.0,55.6,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-wholebody,128x96,onnxruntime,CPU,F32,0.4,7.2,28.6,4.9,287.1,57.6,349.6,2.9,9611.2,22.2,0.3,0.0,0.0,0.0,0.0,51.2,0.0,0.0,55.2,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-wholebody,192x144,lne,GPU/CPU,F32,1.0,7.2,28.6,13.9,230.0,74.9,318.8,3.1,10540.5,24.0,0.4,0.0,0.0,0.0,0.0,51.2,0.0,0.0,56.2,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-wholebody,192x144,onnxruntime,CPU,F32,1.0,7.2,28.6,14.1,547.5,122.0,683.6,1.5,4915.1,22.6,0.4,0.0,0.0,0.0,0.0,52.6,0.0,0.0,56.5,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-wholebody,256x192,lne,GPU/CPU,F32,1.8,7.2,28.6,17.1,386.9,129.2,533.2,1.9,6301.3,25.3,0.4,0.0,0.0,0.0,0.0,52.4,0.0,0.0,58.3,0.0,0.0,0.0
body-pose-openpifpaf,regnety800mf-wholebody,256x192,onnxruntime,CPU,F32,1.8,7.2,28.6,18.2,846.2,195.7,1060.0,0.9,3169.7,23.0,0.4,0.0,0.0,0.0,0.0,53.4,0.0,0.0,57.6,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,160x120,lne,GPU/CPU,F32,13.0,27.4,109.7,4.6,1696.0,11.7,1712.3,0.6,1962.3,51.9,0.8,0.0,0.0,0.0,0.0,54.1,0.0,0.0,61.2,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,160x120,onnxruntime,CPU,F32,13.0,27.4,109.7,4.6,3966.5,9.2,3980.3,0.3,844.2,41.7,0.6,0.0,0.0,0.0,0.0,53.9,0.0,0.0,57.7,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,240x180,lne,GPU/CPU,F32,28.9,25.6,102.3,5.5,3840.3,18.7,3864.5,0.3,869.5,53.1,0.8,0.0,0.0,0.0,0.0,54.2,0.0,0.0,62.0,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,240x180,onnxruntime,CPU,F32,28.9,25.6,102.3,5.5,8128.2,32.0,8165.7,0.1,411.5,41.3,0.5,0.0,0.0,0.0,0.0,54.0,0.0,0.0,58.4,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,320x180,lne,GPU/CPU,F32,38.6,25.6,102.3,7.4,5072.9,25.0,5105.2,0.2,658.1,54.2,0.8,0.0,0.0,0.0,0.0,54.3,0.0,0.0,61.7,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,320x180,onnxruntime,CPU,F32,38.6,25.6,102.3,7.3,10751.3,49.7,10808.3,0.1,310.9,44.3,0.6,0.0,0.0,0.0,0.0,54.0,0.0,0.0,58.7,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,320x240,lne,GPU/CPU,F32,51.5,27.4,109.7,9.2,6678.6,27.4,6715.1,0.1,500.4,56.9,0.8,0.0,0.0,0.0,0.0,54.6,0.0,0.0,62.9,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,320x240,onnxruntime,CPU,F32,51.5,27.4,109.7,9.2,14384.1,59.0,14452.3,0.1,232.5,45.5,0.6,0.0,0.0,0.0,0.0,54.0,0.0,0.0,59.3,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,640x480,lne,GPU/CPU,F32,205.8,27.5,109.9,35.0,27098.7,178.6,27312.3,0.0,123.0,71.7,1.2,0.0,0.0,0.0,0.0,54.5,0.0,0.0,65.0,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012-13,640x480,onnxruntime,CPU,F32,205.8,27.5,109.9,32.7,55936.3,194.1,56163.0,0.0,59.8,71.1,1.2,0.0,0.0,0.0,0.0,54.1,0.0,0.0,59.6,0.0,0.0,0.0
body-pose-openpifpaf,resnet50-012,161x129,lne,GPU/CPU,F32,14.9,25.6,102.3,5.0,2012.8,19.9,2037.7,0.5,1648.9,50.9,0.7,0.0,0.0,0.0,0.0,54.1,0.0,0.0,60.3,0.0,0.0,0.0
