nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,ex_memory,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam
0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.04300045967102051,11756067,36.0,63.0,-452.0445366650029,89.39,29.959999999999997,39.0
1,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.03444623947143555,11756067,36.0,63.0,4926.584821665547,87.08,5.64,1.0
2,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.038001060485839844,11756067,36.0,63.0,4918.218059849276,87.08,5.64,1.0
3,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.04743218421936035,11756067,36.0,63.0,1930.4272720410584,89.39,29.959999999999997,39.0
4,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0614771842956543,11756067,36.0,63.0,-491.28675112456625,89.39,29.959999999999997,39.0
5,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.03435969352722168,11756067,36.0,63.0,-486.4330255910325,89.39,29.959999999999997,39.0
6,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.02700042724609375,11756067,,,,,,
7,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.048872947692871094,11756067,36.0,63.0,-3036.7984157087276,89.39,29.959999999999997,39.0
8,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.03600025177001953,11756067,,,,,,
9,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.03400015830993652,11756067,36.0,63.0,1900.1420429596053,89.39,29.959999999999997,39.0
10,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.030001401901245117,11756067,36.0,63.0,5005.502458669351,87.08,5.64,1.0
11,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.04199957847595215,11756067,36.0,63.0,-485.4361624372655,89.39,29.959999999999997,39.0
12,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.04024195671081543,11756067,36.0,63.0,-452.1359694100781,89.39,29.959999999999997,39.0
13,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.036008358001708984,11756067,36.0,63.0,4930.465006157017,87.08,5.64,1.0
14,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.03300189971923828,11756067,36.0,63.0,4922.458108267339,87.08,5.64,1.0
15,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.03583240509033203,11756067,36.0,63.0,1951.6962235013486,89.39,29.959999999999997,39.0
16,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.05100107192993164,11756067,36.0,63.0,-492.0856449577646,89.39,29.959999999999997,39.0
17,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.035543203353881836,11756067,36.0,63.0,-487.1686989420013,89.39,29.959999999999997,39.0
18,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.03403067588806152,11756067,36.0,63.0,-452.63888361867777,89.39,29.959999999999997,39.0
19,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.03969287872314453,11756067,36.0,63.0,4958.1872921999275,87.08,5.64,1.0
20,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.06986880302429199,11756067,36.0,63.0,-484.22582402358404,89.39,29.959999999999997,39.0
21,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0410001277923584,11756067,36.0,63.0,1960.7730173410994,89.39,29.959999999999997,39.0
22,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0347139835357666,11756067,36.0,63.0,-492.3046499177846,89.39,29.959999999999997,39.0
23,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.03649497032165527,11756067,36.0,63.0,1949.1993891084646,89.39,29.959999999999997,39.0
24,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.03032374382019043,11756067,,,,,,
25,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.030232667922973633,11756067,,,,,,
26,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.02800154685974121,11756067,,,,,,
27,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.039000749588012695,11756067,36.0,63.0,-452.77751955983814,89.39,29.959999999999997,39.0
28,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.038849592208862305,11756067,36.0,63.0,4965.865611356156,87.08,5.64,1.0
29,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.037001609802246094,11756067,36.0,63.0,-484.43927772525586,89.39,29.959999999999997,39.0
