MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
age-gender-insightface,mobilenet_0_25x,112x112,lne,CPU,F32,/,/,0.1,0.3,1.1,1.4,5.8,0.0,7.3,136.8,1424853.6,6.6,2.2,6.6,2.1,1.0,1.0,62.5,0.0,0.0,40.0,39.0,7.6,0.7
age-gender-insightface,mobilenet_0_25x,112x112,onnxruntime,CPU,F32,/,/,0.1,0.3,1.1,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
