HW_ID,MODEL,ENGINE,PROCESSOR,PRECISION,utilization,temperature,POWER_CONSUMPTION,voltage,INFERENCE_TIME
atlas_200,imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,12.0284
atlas_200,imagenet-mobinenetv2,acl,NPU,F32,26,39,12.8,83,11.2628
atlas_200,imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,10.4817
atlas_200,imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,10.5359
atlas_200,imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,12.6523
atlas_200,imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,11.3503
atlas_200,imagenet-mobinenetv2,acl,NPU,F32,26,40,12.8,83,11.4605
atlas_200,mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.07141
atlas_200,mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.06052
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.40135
atlas_200,mnist-lenet5,acl,NPU,F32,25,39,12.8,83,5.71339
atlas_200,mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.59365
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.6749
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.59604
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.44963
atlas_200,mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.75724
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.50396
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.48984
atlas_200,mnist-lenet5,acl,NPU,F32,25,39,12.8,83,6.42906
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.10536
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.80948
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.74276
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.67667
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.65969
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.07068
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.76297
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.42912
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.44146
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.99656
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.72333
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.96391
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.68562
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.93021
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.76854
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.6763
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.78917
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.64891
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.81568
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,5.7551
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.05338
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.34307
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,6.90229
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.8699
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.29057
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,8.01328
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.41146
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,5.95864
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,6.37188
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,6.41276
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.4237
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.97109
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.66911
atlas_200,mnist-lenet5,acl,NPU,F32,26,40,12.8,83,7.55359
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,7.27042
atlas_200,mnist-lenet5,acl,NPU,F32,25,40,12.8,83,6.40984
atlas_200,retinaface,acl,NPU,F32,24,43,12.8,83,13.064427
atlas_200,retinaface,acl,NPU,F32,24,41,12.8,83,12.818594
atlas_200,retinaface,acl,NPU,F32,22,41,12.8,83,13.00276
atlas_200,nanodet-plus-m-320x320,acl,NPU,F32,26,40,12.8,83,18.4123
