HW_ID,MODEL,ENGINE,PROCESSOR,PRECISION,utilization,temperature,POWER_CONSUMPTION,voltage,INFERENCE_TIME
atlas_800,nanodet-plus-m-320x320,acl,NPU,F32,5,36,69.9,1223,20.2776
atlas_800,nanodet-plus-m-320x256,acl,NPU,F32,5,36,70.2,1222,8.24801
atlas_800,nanodet-Efficientnet,acl,NPU,F32,5,36,70.3,1223,9.47042
atlas_800,nanodet-Resnet,acl,NPU,F32,5,36,70.3,1223,8.73206
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,37,70.0,1223,7.25346
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,37,70.4,1223,6.14165
atlas_800,retinaface,acl,NPU,F32,5,37,70.2,1222,7.81451
atlas_800,retinaface,acl,NPU,F32,5,37,70.8,1223,7.83686
atlas_800,retinaface,acl,NPU,F32,5,37,70.1,1223,7.95686
atlas_800,retinaface,acl,NPU,F32,5,37,70.3,1223,7.71779
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,70.4,1223,5.20077
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,70.6,1223,2.08828
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,71.2,1223,2.27375
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,71.2,1223,4.47159
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,2.30097
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,4.4561
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,2.42147
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,2.29472
atlas_800,mnist-lenet5-master-default,acl,NPU,F32,5,38,70.4,1223,2.23847
atlas_800,nanodet-plus-m-320x320,acl,NPU,F32,5,38,70.3,1222,8.67902
atlas_800,nanodet-plus-m-320x320,acl,NPU,F32,5,38,71.2,1223,8.41403
atlas_800,nanodet-plus-m-320x256,acl,NPU,F32,5,38,70.3,1223,7.31456
atlas_800,nanodet-plus-m-320x256,acl,NPU,F32,5,38,70.3,1223,8.50544
atlas_800,nanodet-Resnet,acl,NPU,F32,5,38,70.3,1223,8.9571
atlas_800,nanodet-Resnet,acl,NPU,F32,5,38,70.8,1223,8.76147
atlas_800,nanodet-Efficientnet,acl,NPU,F32,5,38,70.6,1223,9.54606
atlas_800,nanodet-Efficientnet,acl,NPU,F32,5,38,70.4,1223,9.46431
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,7.24043
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.1,1223,7.40405
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,7.37376
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,6.26798
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.8,1223,5.27637
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.8,1223,6.33544
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.2,1223,7.18384
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,7.42732
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,3.03131
atlas_800,imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.1,1223,7.27025
atlas_800,retinaface,acl,NPU,F32,5,38,70.7,1223,7.991827
atlas_800,retinaface,acl,NPU,F32,5,38,71.7,1223,7.815095
